customer_id,tenure_days,mrr_brl,seats,logins_7d,logins_30d,feature_adoption,avg_session_min,api_calls_7d,days_since_last_login,tickets_30d,failed_pay_90d,nps_last,is_anomalous
C008367,592,4123.54,19,110,416,0.686,18.8,1839,1,0,0,4.6,0
C003949,324,3656.46,13,68,287,0.957,25.6,664,3,0,0,6.2,0
C005494,245,3008.09,10,11,144,0.711,16.2,1037,0,0,0,5.5,0
A000722,568,10285.79,14,11,81,0.23,6.7,141,9,1,0,10.0,1
C008112,763,8527.31,12,43,186,0.876,20.4,270,1,0,0,4.3,0
C002821,603,2088.44,9,40,154,0.614,24.9,467,3,0,0,4.6,0
C005338,149,2456.01,15,75,27,0.88,29.0,1452,0,1,0,0.0,0
C005370,143,5276.59,20,138,471,0.777,28.0,12855,1,0,0,4.1,0
C004185,365,4789.76,20,101,417,0.621,27.6,1056,3,1,0,0.0,0
C009404,436,3997.13,16,94,326,0.514,14.4,2000,1,0,0,5.3,0
C009626,325,3025.66,16,74,303,0.82,19.6,589,3,0,0,8.5,0
C000304,543,5124.95,15,69,290,0.885,21.2,1102,2,0,0,3.5,0
C000034,664,9938.45,15,53,179,0.803,17.2,526,4,0,0,4.1,0
C003275,581,9655.05,17,109,387,0.586,25.0,3997,3,0,1,9.1,0
C001942,593,4569.41,13,54,224,0.464,22.4,1341,4,0,1,5.4,0
C009117,257,9563.36,25,142,527,0.811,17.9,2322,8,0,0,10.0,0
C009284,517,22603.9,19,85,344,0.87,19.1,1409,2,1,0,7.8,0
C003523,718,6100.43,20,66,247,0.469,35.2,2737,3,1,0,3.4,0
C004837,796,6733.08,13,79,284,0.6,20.5,29,3,0,0,7.3,0
C007108,207,18547.57,12,53,244,0.756,20.6,915,1,0,0,3.2,0
C000252,78,4121.81,12,47,183,0.656,19.3,1441,2,0,0,4.3,0
C009072,212,6303.48,16,61,270,0.788,8.6,199,1,0,2,2.9,0
C006900,561,12256.87,10,65,239,0.497,18.4,5025,1,0,0,3.6,0
C009734,219,5466.66,13,52,218,0.747,28.5,5774,9,2,1,8.1,0
C009441,723,7750.63,23,111,388,0.841,15.3,546,4,0,0,8.9,0
C000458,222,12165.37,14,59,266,0.51,19.8,5227,12,0,0,8.6,0
C002955,998,2281.04,18,77,300,0.759,25.3,1250,2,0,0,9.7,0
C001840,367,2814.14,14,72,311,0.839,27.2,870,2,0,0,2.6,0
C005866,459,3560.72,8,46,157,0.635,23.0,1322,4,0,0,10.0,0
C008501,704,12232.86,19,80,294,0.668,17.9,915,5,0,0,6.8,0
C009560,1090,6173.51,11,42,163,0.726,19.3,2612,2,0,1,2.6,0
C001278,528,5066.91,22,69,310,0.726,26.5,1154,4,0,0,7.2,0
C001146,1160,6738.16,18,91,338,0.856,27.2,1167,3,0,0,4.3,0
A000098,560,8224.8,19,10,145,0.226,6.7,69,0,0,1,1.4,1
C009288,347,2718.66,17,73,279,0.812,15.6,1526,13,0,1,6.1,0
C008444,402,3612.79,14,66,272,0.673,17.7,507,5,0,0,6.2,0
C009784,494,3094.23,12,55,197,0.495,26.4,718,2,0,0,9.3,0
C009957,391,872.2,15,83,333,0.279,21.5,1377,4,0,0,8.1,0
A000081,730,13463.28,16,6,91,0.041,5.6,57,18,1,2,1.8,1
C003205,101,10582.28,11,35,136,0.43,31.0,2996,0,0,0,8.4,0
C006815,235,4140.87,16,89,369,0.675,19.3,1222,0,1,1,1.1,0
C004554,134,14849.81,15,75,269,0.837,21.6,4067,17,0,0,8.3,0
C006378,304,3658.88,16,70,238,0.532,23.5,1617,1,0,0,0.0,0
C005573,356,4426.44,18,104,349,0.864,20.1,466,1,0,0,3.3,0
C001179,360,7712.04,11,61,221,0.503,30.4,788,4,0,0,6.3,0
C005033,334,4786.36,8,41,75,0.821,5.4,745,0,0,0,7.2,0
C001794,889,7789.27,16,49,176,0.838,22.8,1713,1,1,0,7.5,0
C004454,550,1226.97,10,66,223,0.477,21.7,496,1,2,0,6.6,0
C004830,1772,7859.98,13,51,206,0.641,20.8,891,3,0,1,3.1,0
C000674,1377,3145.19,13,50,220,0.813,21.3,2554,8,0,0,8.2,0
C002725,339,4574.96,8,27,110,0.616,24.9,353,24,0,0,4.7,0
C005423,490,7416.5,16,67,237,0.908,22.7,3754,4,0,0,7.5,0
C008575,286,2726.42,21,120,462,0.833,41.3,516,1,0,0,10.0,0
A000629,258,1241.24,15,5,327,0.709,7.1,50,8,2,1,1.8,1
C007710,482,3905.66,22,152,527,0.489,31.4,1187,4,0,1,6.8,0
C007075,690,6859.43,17,99,346,0.663,24.9,744,1,0,0,6.7,0
C002222,1478,3394.75,22,119,426,0.716,20.4,957,4,0,0,7.1,0
C006274,769,9841.58,15,54,226,0.721,26.9,1365,18,0,0,2.3,0
C008493,318,3266.44,15,95,353,0.735,27.6,682,2,0,0,5.3,0
A000876,755,40153.32,13,11,94,0.048,4.9,84,1,1,1,1.1,1
C004890,395,7633.84,22,124,503,0.812,24.2,462,7,0,0,3.4,0
C001624,166,4936.09,14,64,267,0.938,25.8,360,0,0,0,2.0,0
A000579,55,11635.49,12,9,96,0.099,4.4,53,15,1,0,6.7,1
C000884,409,3946.92,11,46,174,0.686,13.4,1289,0,0,0,4.0,0
C005262,361,10215.82,9,35,141,0.807,31.6,470,9,0,0,8.0,0
C001618,441,2407.64,13,73,286,0.819,33.0,1252,2,1,0,3.1,0
C002493,105,12318.81,19,84,56,0.426,17.4,1079,5,0,0,6.4,0
C008331,536,10428.94,12,63,222,0.777,18.7,194,5,0,0,6.2,0
C006927,650,7959.87,14,83,32,0.661,5.5,1726,6,0,0,8.5,0
C001502,742,18917.28,12,40,178,0.808,21.5,1445,2,0,0,3.6,0
C007865,590,10075.74,17,101,365,0.798,30.8,3665,2,0,0,7.8,0
C006166,124,6864.73,12,55,252,0.825,16.7,1460,2,0,0,3.3,0
C002019,562,4504.61,11,64,273,0.867,30.0,670,7,0,0,8.9,0
C008447,343,1932.14,14,57,237,0.443,37.7,1227,0,0,0,3.3,0
C001057,382,1615.41,14,58,207,0.919,23.5,1292,1,2,0,8.8,0
C004611,422,1225.29,12,55,226,0.877,22.4,676,6,0,0,0.0,0
C005219,689,4474.0,20,90,371,0.76,17.8,1706,1,0,0,5.6,0
C001143,273,2569.57,19,115,486,0.811,15.8,2572,4,1,0,10.0,0
C000319,991,2299.39,14,80,283,0.725,15.4,1282,0,0,0,1.6,0
C003652,320,23886.94,15,57,201,0.783,26.7,2314,1,0,0,4.7,0
C009694,698,5966.17,18,100,403,0.828,21.8,312,1,0,0,8.7,0
C006012,597,7841.83,16,49,207,0.847,25.1,602,1,0,0,7.4,0
C007220,424,3697.39,11,54,224,0.82,22.1,1446,5,1,0,6.1,0
C003422,815,5344.38,9,33,133,0.704,28.1,1038,10,0,1,3.4,0
A000661,665,2362.67,20,3,69,0.169,8.2,204,5,0,1,3.4,1
C002956,562,9808.14,18,105,384,0.742,18.3,847,0,0,1,3.5,0
C006685,641,18999.48,12,47,172,0.77,26.5,263,1,0,0,9.5,0
C006949,552,7765.0,16,63,278,0.536,17.3,1939,2,0,0,4.4,0
C001455,242,4130.4,17,70,301,0.727,14.3,495,1,0,1,5.7,0
A000565,30,1628.37,19,13,143,0.715,7.2,161,16,1,1,9.5,1
C003594,185,5959.44,12,51,195,0.482,26.7,2058,3,0,0,4.7,0
A000027,245,11883.62,16,3,29,0.213,7.7,78,14,0,2,2.6,1
C004195,784,6378.28,14,59,250,0.852,24.3,5233,1,1,1,3.9,0
C008300,355,1794.25,13,52,216,0.598,20.3,6438,0,2,0,6.7,0
C001454,452,9246.44,10,45,174,0.793,21.4,4329,2,0,0,5.9,0
C001890,298,6707.27,16,73,335,0.859,18.8,1104,1,0,0,1.5,0
C008761,411,4107.46,14,72,261,0.722,15.5,710,1,0,0,4.2,0
C003778,303,15432.66,13,39,105,0.751,6.7,285,3,0,1,10.0,0
C008036,273,6970.22,18,105,359,0.517,13.0,1733,2,0,0,8.3,0
C008115,153,1658.19,14,67,240,0.691,24.5,463,2,1,0,4.5,0
C005365,593,6870.7,21,112,391,0.93,31.5,1769,0,2,0,5.4,0
C000219,356,10127.08,12,70,282,0.823,21.1,2378,13,1,0,5.9,0
C004803,528,9327.23,15,64,274,0.677,18.8,1481,2,0,0,9.3,0
C007888,215,7607.63,9,48,172,0.938,10.8,2492,1,0,0,4.1,0
C003255,69,7467.22,17,101,359,0.837,19.3,7268,2,0,1,4.7,0
C001577,152,5811.54,17,70,258,0.655,18.6,2506,8,1,0,6.8,0
C000519,266,2300.64,11,60,250,0.834,28.4,765,10,1,1,6.8,0
C000555,215,3436.1,16,66,249,0.66,17.5,225,6,0,1,7.8,0
C002593,173,3075.37,18,79,296,0.596,13.3,1196,18,0,0,8.1,0
C002837,309,2757.78,15,42,189,0.547,18.8,1328,2,0,0,7.3,0
C001209,329,10686.01,10,44,168,0.592,27.7,1305,9,1,0,4.1,0
C004686,233,4245.94,14,73,269,0.676,19.6,645,9,0,0,7.6,0
C000915,325,5019.73,13,61,228,0.72,26.2,1447,6,0,0,4.7,0
C002250,346,2157.61,19,58,248,0.854,19.2,950,2,0,0,2.1,0
C005326,215,8795.73,18,125,440,0.815,19.8,3051,0,0,0,7.4,0
C005606,1292,7591.11,14,82,310,0.922,25.3,793,3,0,1,7.2,0
C009727,291,993.7,17,87,302,0.927,22.1,2265,0,1,0,6.7,0
A000169,382,665.26,11,5,50,0.262,8.0,34,30,1,3,5.9,1
C003544,262,1170.61,10,49,193,0.739,26.1,738,2,0,0,10.0,0
C003574,426,1831.85,15,72,264,0.87,20.2,916,3,0,0,8.3,0
C003502,308,7945.1,16,57,204,0.647,21.9,862,0,0,0,9.3,0
C002590,501,6812.12,12,53,199,0.316,4.7,166,3,0,0,3.5,0
C009479,378,17378.87,4,15,66,0.636,21.4,356,1,0,0,4.0,0
C006497,674,1536.06,10,53,197,0.671,13.4,3154,3,0,0,9.1,0
C002693,323,6902.02,11,58,242,0.978,26.7,672,1,0,0,7.0,0
C006160,680,5621.52,10,66,255,0.504,18.8,935,9,1,1,2.6,0
C006120,220,597.28,20,110,371,0.306,10.6,1472,12,0,0,5.1,0
C009045,881,2670.85,16,64,281,0.614,23.8,1746,3,0,0,8.1,0
C003707,351,3670.47,12,56,208,0.953,16.1,938,0,0,0,4.4,0
C004467,981,1576.41,15,41,183,0.878,19.4,677,3,0,0,9.2,0
C004603,1249,23160.42,14,71,239,0.643,22.3,2357,3,0,0,6.6,0
C009574,906,1750.41,15,80,284,0.708,28.2,1309,3,1,0,6.3,0
C000305,834,3165.32,15,52,224,0.764,20.2,794,3,2,0,5.6,0
C009586,631,4573.27,10,58,224,0.381,23.8,2374,1,0,1,10.0,0
C000857,132,8690.34,12,65,234,0.654,21.0,636,2,1,0,9.7,0
C004784,417,2091.24,14,90,352,0.774,28.2,189,0,0,0,8.0,0
C001689,214,19358.01,12,55,195,0.774,5.6,44,0,1,0,0.0,0
C000036,193,4939.93,18,61,274,0.902,22.3,1687,11,0,0,6.9,0
C007071,70,9968.19,18,71,310,0.877,23.5,679,18,0,0,5.2,0
C002311,502,15333.67,18,127,425,0.646,20.0,726,2,1,1,4.0,0
C003287,67,5282.78,14,65,218,0.675,28.1,3838,2,1,0,5.8,0
A000580,473,27972.75,19,33,33,0.845,6.8,131,8,0,0,4.1,1
C009075,158,1966.03,11,42,156,0.936,25.4,583,4,0,0,9.6,0
C008130,354,5094.62,9,42,167,0.698,17.7,2935,0,0,0,4.3,0
C009154,656,5159.06,17,90,370,0.948,30.9,999,3,1,0,3.9,0
C009907,317,8244.17,20,94,371,0.732,18.5,1300,4,0,1,6.0,0
C009884,274,2076.0,14,77,303,0.764,24.6,1163,0,0,0,9.5,0
A000087,431,3313.7,14,4,93,0.462,5.9,498,6,1,1,2.7,1
C006787,71,5148.36,22,98,345,0.855,19.0,767,0,0,0,6.1,0
C005432,976,7586.98,14,44,193,0.894,28.1,733,2,0,0,6.0,0
C000409,311,3580.36,7,30,131,0.504,20.8,2716,1,0,0,8.0,0
C006948,1143,5823.26,13,86,299,0.887,19.2,709,4,0,0,9.9,0
C001563,1870,3437.48,18,85,332,0.536,30.8,912,11,0,0,2.9,0
C001510,533,2548.97,18,80,307,0.423,26.9,464,5,0,0,5.3,0
C000096,297,2889.52,20,84,322,0.899,27.4,1532,0,0,0,7.4,0
C001513,359,4449.01,16,73,271,0.439,23.8,3125,8,1,1,4.3,0
C002413,838,2345.83,17,76,262,0.519,20.4,928,7,1,0,5.7,0
C004707,387,2161.09,20,104,382,0.85,28.6,228,6,1,0,1.5,0
C009648,445,2775.84,16,91,310,0.602,11.2,699,3,1,1,5.1,0
C007347,309,4421.9,18,48,195,0.731,22.7,315,1,0,0,8.2,0
C006202,373,6350.38,18,80,339,0.861,18.4,2552,0,0,0,0.0,0
A000840,1060,6079.05,21,5,50,0.143,6.6,31,1,0,0,5.6,1
C009599,893,17487.44,16,46,211,0.888,10.4,419,17,0,0,4.4,0
C004550,438,8861.68,14,84,308,0.976,26.1,1064,11,1,0,6.4,0
C001262,98,3673.49,16,75,259,0.68,18.2,480,2,0,1,4.7,0
C003881,743,1943.48,13,49,218,0.78,29.6,878,2,1,0,10.0,0
C004880,579,13381.36,11,59,248,0.577,24.2,920,6,2,0,4.8,0
C005215,612,15536.25,16,94,393,0.571,19.4,631,3,0,0,9.8,0
C009641,157,10845.1,16,81,336,0.951,23.7,561,0,0,0,6.4,0
C001480,422,4117.1,16,56,203,0.927,21.5,1093,0,0,0,4.3,0
C006614,473,9405.04,16,72,293,0.718,16.2,1621,7,0,0,8.3,0
C009584,1192,3604.58,28,87,368,0.821,26.2,2350,0,0,0,8.6,0
A000264,246,8368.6,15,10,116,0.318,3.1,39,0,0,0,6.7,1
C002110,814,3870.91,14,77,289,0.846,16.6,415,6,1,1,9.0,0
C008743,539,6230.87,12,71,273,0.724,17.8,558,4,0,0,3.9,0
C003998,215,1414.98,14,74,259,0.959,26.1,774,2,0,0,0.6,0
C000215,198,4902.2,19,91,331,0.909,25.3,885,0,0,0,4.9,0
A000756,232,8512.31,18,10,162,0.095,4.4,629,12,0,1,9.0,1
C004000,91,3699.2,19,95,350,0.662,23.6,603,10,0,0,6.7,0
C004666,391,3385.11,15,85,307,0.433,20.7,1332,1,1,0,8.0,0
C005961,258,5080.46,12,45,189,0.493,30.7,1052,5,0,0,10.0,0
C009625,107,8749.52,17,75,299,0.685,16.2,139,0,0,0,6.8,0
C004412,359,9667.62,15,5,347,0.877,28.8,125,4,0,0,5.2,0
C005618,146,5299.58,20,140,480,0.262,31.0,1444,4,0,0,0.5,0
C005876,758,928.96,19,116,412,0.861,24.8,2634,0,0,0,4.9,0
C000652,57,9513.87,9,44,177,0.662,21.4,616,0,0,0,5.0,0
C002349,640,2746.29,17,90,334,0.786,16.6,211,16,1,0,5.5,0
C000102,59,12712.67,15,68,308,0.911,26.3,1133,1,0,0,3.9,0
A000851,492,8032.67,20,13,92,0.272,7.3,79,5,1,1,9.3,1
C002908,466,4715.37,18,50,198,0.434,17.3,735,8,0,0,8.4,0
C006577,231,5396.8,8,32,126,0.577,25.9,623,14,1,0,4.8,0
C007453,135,5874.8,10,36,165,0.575,27.8,1278,3,1,0,6.1,0
C004510,504,9796.74,14,69,243,0.486,21.3,1225,5,0,1,3.8,0
C002517,161,1915.57,21,102,424,0.695,24.8,1487,3,0,0,3.0,0
C007597,134,7069.82,13,67,293,0.826,29.7,1613,6,0,0,8.3,0
C004891,144,4926.35,15,59,256,0.579,22.5,1672,2,0,0,7.4,0
C004735,425,8548.85,14,66,288,0.684,29.0,58,1,0,0,9.1,0
C003839,110,3292.11,13,73,287,0.707,23.4,517,0,0,0,1.8,0
C007188,170,4135.14,10,27,123,0.695,23.8,2184,2,0,0,3.0,0
C002120,532,3296.07,15,82,319,0.475,22.1,678,3,0,0,5.3,0
C007336,337,3985.03,10,46,163,0.702,23.7,971,1,1,0,6.4,0
C009423,879,3978.58,22,104,358,0.415,16.9,897,12,0,1,8.3,0
C006368,891,2641.5,22,110,463,0.602,15.7,778,17,0,0,9.1,0
C001471,548,4062.17,20,84,371,0.713,23.6,1671,0,0,0,8.0,0
C006743,634,20869.04,13,83,344,0.932,10.1,2896,2,0,0,8.8,0
C009051,662,4646.4,9,42,158,0.825,29.0,1216,0,3,0,7.0,0
C001111,379,15205.74,21,85,387,0.716,22.4,736,2,2,1,8.3,0
C008792,682,13951.31,13,40,157,0.893,25.8,1008,3,0,1,5.2,0
C006376,613,2009.53,10,34,155,0.836,17.7,463,0,1,0,5.8,0
C003596,342,3166.12,14,79,297,0.534,27.8,672,5,0,1,7.1,0
C007204,224,15557.55,27,108,471,0.654,20.0,629,11,1,0,9.1,0
C002190,168,3109.89,13,73,260,0.955,19.3,16346,5,0,0,5.0,0
A000103,130,22326.72,8,5,59,0.344,4.8,152,2,1,0,4.3,1
A000641,754,8552.03,18,60,208,0.194,9.9,58,13,0,2,0.3,1
C008004,762,1410.26,15,82,324,0.808,20.3,2266,3,0,0,6.3,0
A000922,165,9856.71,17,6,70,0.304,6.8,69,12,2,2,1.0,1
A000585,602,2144.04,18,6,48,0.309,5.2,36,5,0,1,1.9,1
C002953,404,6893.14,15,68,292,0.842,18.0,3228,13,0,0,8.7,0
C009301,828,1499.42,10,63,222,0.609,25.9,1736,6,1,1,4.6,0
C009757,802,4456.77,11,46,193,0.776,28.8,908,0,1,0,6.2,0
C005737,684,6716.04,18,109,402,0.527,22.7,1625,2,2,0,0.0,0
A000080,307,6301.25,10,7,61,0.195,6.6,229,11,0,1,5.3,1
C009755,359,6968.6,15,63,288,0.704,16.6,796,3,0,0,7.1,0
C006514,88,1571.77,19,101,389,0.72,19.5,1532,3,0,0,8.0,0
C007810,151,6831.91,12,59,239,0.794,17.7,735,3,0,0,8.5,0
C006836,344,8003.73,19,69,304,0.619,16.3,707,6,0,1,7.3,0
C003959,97,14995.16,16,8,321,0.883,23.4,299,8,0,0,2.7,0
C003593,169,10995.13,13,59,254,0.638,22.9,2210,10,0,0,5.7,0
C000399,167,3644.05,16,56,220,0.716,28.1,911,6,0,2,6.3,0
C009052,348,4692.46,11,43,193,0.938,16.5,1368,0,0,0,8.4,0
A000255,460,15498.52,15,2,40,0.426,6.7,108,14,1,0,0.4,1
C005435,193,12945.3,19,97,374,0.562,16.9,1277,0,1,1,3.4,0
C008135,371,7038.38,12,4,222,0.635,23.9,14,4,0,0,7.6,0
C001672,177,3837.87,15,66,231,0.86,21.6,1890,1,0,1,6.1,0
C006009,1718,10309.99,12,57,230,0.742,33.1,670,2,0,0,3.7,0
C005759,753,5280.01,16,69,287,0.691,24.7,1861,5,0,0,8.5,0
A000609,332,4313.46,16,1,13,0.111,5.3,155,2,1,1,2.0,1
C003533,704,8506.66,14,77,285,0.595,26.4,2511,5,0,0,7.9,0
C008305,378,7273.41,19,74,334,0.788,20.2,244,0,0,0,1.7,0
C000361,175,6653.5,13,56,211,0.823,19.2,497,7,2,0,7.4,0
C005915,443,3359.43,21,91,405,0.886,18.2,624,0,0,0,7.1,0
C001011,273,10460.57,19,115,395,0.386,32.1,602,1,0,0,1.6,0
C008543,192,7793.97,9,45,173,0.951,19.2,647,5,0,0,7.6,0
A000733,601,17135.73,22,10,129,0.161,5.7,52,14,0,0,7.4,1
C003861,185,12057.62,15,51,203,0.548,22.7,602,3,0,0,6.6,0
C003669,404,6467.54,15,49,201,0.501,19.1,731,8,0,0,2.7,0
C003423,315,3722.79,11,38,142,0.697,14.1,7358,5,0,0,5.6,0
C007911,609,15471.55,12,74,268,0.456,15.9,2919,7,0,1,8.3,0
C005115,40,4230.79,21,82,299,0.463,24.0,442,2,0,0,10.0,0
C005999,245,3612.84,12,51,183,0.852,23.8,990,7,1,0,6.5,0
C006605,744,7956.07,22,93,360,0.268,9.8,392,2,0,0,2.1,0
C008470,827,2611.55,14,76,277,0.772,16.4,837,1,1,0,8.3,0
C007144,183,6204.56,10,48,194,0.42,17.1,2116,4,0,0,10.0,0
C008251,831,7102.51,13,58,209,0.502,25.3,1937,15,0,0,8.9,0
C008058,243,4921.31,16,88,358,0.433,31.2,2508,16,1,0,3.5,0
C004163,365,13641.99,15,51,177,0.825,19.5,4253,1,1,0,6.0,0
C007243,717,13519.95,22,114,493,0.838,28.2,334,20,1,0,8.1,0
A000810,170,7117.74,18,19,139,0.44,5.7,25,0,0,1,1.9,1
C008884,1067,7904.42,22,108,373,0.683,15.7,1059,6,0,0,4.5,0
C001184,108,4709.78,16,81,281,0.862,16.0,1603,7,0,0,5.0,0
A000297,604,8654.75,21,10,95,0.133,7.5,102,5,1,1,9.5,1
C008944,208,13843.35,18,43,151,0.959,34.7,1372,3,0,0,5.7,0
C000840,264,4104.72,14,84,296,0.926,20.7,2254,9,0,0,9.6,0
C001769,224,9069.74,17,111,404,0.478,28.1,328,3,0,0,9.2,0
C008099,192,5274.54,21,92,342,0.511,23.1,540,4,1,0,10.0,0
C006965,633,7080.75,20,70,259,0.929,18.4,641,0,0,1,10.0,0
C003704,134,2284.19,20,61,215,0.756,9.5,1358,11,0,0,4.2,0
C007019,495,4960.97,22,103,437,0.694,33.7,523,1,0,0,6.3,0
C009160,199,7977.13,12,35,151,0.288,28.1,2900,0,0,1,4.3,0
C001787,1214,9522.98,14,63,246,0.716,23.2,502,10,0,1,9.5,0
C006415,258,3247.82,10,52,198,0.88,17.5,2937,0,0,0,5.8,0
C007104,888,8091.57,13,52,227,0.541,21.3,927,3,0,1,10.0,0
C002109,186,3027.89,17,97,348,0.695,32.0,626,2,0,0,6.6,0
C006313,1263,11719.54,20,113,417,0.748,20.1,919,12,1,0,5.7,0
C005255,768,2206.79,11,42,153,0.209,26.0,596,5,0,0,8.4,0
C000867,420,10329.93,17,91,320,0.948,21.3,930,3,0,1,9.8,0
C008525,300,8089.27,11,44,189,0.627,26.5,1808,3,0,0,9.4,0
C008418,887,6460.42,14,83,83,0.77,22.1,7375,6,0,1,6.2,0
C002610,503,1474.95,16,82,281,0.66,18.8,1119,16,0,0,6.1,0
A000296,253,11715.43,17,9,73,0.562,7.6,43,30,0,1,2.4,1
C005668,481,3436.87,12,52,189,0.517,20.8,946,9,0,0,5.3,0
C007503,540,2167.87,18,82,323,0.84,23.4,1336,9,1,0,3.8,0
C006532,250,3308.29,14,89,335,0.899,15.6,791,0,1,0,7.0,0
C005776,291,9899.42,17,82,345,0.918,28.5,1515,11,1,0,9.4,0
C005943,271,3833.66,14,85,314,0.542,22.9,564,7,0,0,8.5,0
C009121,235,9019.53,21,70,318,0.883,31.1,857,1,0,0,6.0,0
C003708,445,2633.57,8,41,163,0.6,23.3,170,21,0,0,5.9,0
C004743,222,4724.76,9,47,162,0.877,8.7,1398,4,1,0,7.3,0
C002246,641,7854.58,11,64,228,0.616,28.3,382,0,0,0,3.0,0
C003232,1559,5303.08,8,47,182,0.908,17.5,235,4,0,0,9.2,0
C004429,383,6939.53,16,73,254,0.819,23.3,1068,13,1,0,10.0,0
C008348,92,3936.51,14,73,278,0.658,20.6,1805,4,1,0,7.4,0
C007190,439,7085.45,14,49,218,0.543,17.3,2107,0,0,0,10.0,0
C000217,126,22470.71,16,70,257,0.594,20.2,417,0,0,0,5.9,0
A000624,414,2675.79,19,10,85,0.119,8.3,128,10,1,1,5.5,1
C008255,316,6643.33,25,143,486,0.78,20.2,2095,3,0,0,5.5,0
C003647,409,14445.42,18,103,402,0.592,19.6,772,2,0,0,4.0,0
