tenure_months,day_of_month,invoice_amount,avg_ticket,gateway_error_code,card_brand,payment_history_score,failure_count_90d,hour_of_day,day_of_week,attempt_count,ltv_estimated,recovered
9,13,353.73,361.64,insufficient_funds,mastercard,0.685,1,15,4,3,353.73,1
0,16,85.07,88.94,insufficient_funds,amex,0.362,4,23,1,3,85.07,0
25,15,167.75,165.9,expired_card,elo,0.617,1,14,0,2,308.18,1
54,14,20.44,19.01,card_declined,mastercard,0.729,2,15,6,3,80.41,0
58,21,71.52,71.15,insufficient_funds,visa,0.847,2,18,4,2,325.55,0
17,18,46.09,44.45,insufficient_funds,visa,0.566,1,20,5,1,55.31,0
8,30,881.3,936.64,insufficient_funds,mastercard,0.512,3,11,0,1,881.3,0
2,5,54.06,48.73,insufficient_funds,visa,0.553,2,23,3,1,54.06,0
1,17,104.32,104.2,generic_decline,visa,0.472,0,3,6,1,104.32,0
26,2,109.38,124.44,insufficient_funds,elo,0.583,2,5,4,3,240.86,1
0,24,23.82,24.05,expired_card,visa,0.369,3,9,2,1,23.82,1
5,18,61.26,56.43,insufficient_funds,visa,0.46,2,16,1,1,61.26,0
29,14,140.04,158.35,insufficient_funds,visa,0.72,0,17,0,3,343.77,1
9,24,105.48,97.38,card_declined,visa,0.552,1,22,0,1,105.48,0
3,15,12.67,13.62,expired_card,visa,0.573,4,15,2,1,12.67,0
1,7,59.07,52.15,insufficient_funds,visa,0.501,1,20,3,2,59.07,1
38,15,242.06,267.63,insufficient_funds,mastercard,0.744,2,17,6,1,774.05,1
44,3,164.83,149.03,insufficient_funds,mastercard,0.72,4,14,6,1,504.55,0
54,27,288.41,279.25,insufficient_funds,mastercard,0.868,0,16,0,1,1181.23,1
61,23,40.73,46.42,card_declined,amex,0.844,1,11,1,4,224.17,1
2,24,304.98,312.24,insufficient_funds,mastercard,0.563,1,20,0,1,304.98,1
3,26,93.97,87.32,insufficient_funds,mastercard,0.388,2,16,2,1,93.97,0
3,24,402.13,341.89,insufficient_funds,mastercard,0.531,0,20,4,3,402.13,1
6,14,98.04,83.53,do_not_honor,mastercard,0.556,2,14,2,1,98.04,0
42,4,15.86,14.79,insufficient_funds,visa,0.478,2,10,5,2,47.62,1
2,12,207.85,209.52,expired_card,amex,0.628,0,15,0,1,207.85,0
6,28,65.92,65.62,insufficient_funds,mastercard,0.668,2,15,4,4,65.92,0
1,28,69.98,78.84,insufficient_funds,mastercard,0.451,1,13,6,2,69.98,1
64,24,26.89,29.02,insufficient_funds,mastercard,0.849,1,17,1,2,147.03,0
9,6,412.98,465.6,card_declined,elo,0.681,4,12,6,2,412.98,0
0,6,61.53,61.75,insufficient_funds,mastercard,0.496,3,16,5,1,61.53,0
48,26,396.04,389.7,generic_decline,mastercard,0.69,1,16,1,1,1449.68,0
4,5,66.64,67.96,insufficient_funds,mastercard,0.571,2,0,2,1,66.64,0
10,17,42.87,41.23,processing_error,elo,0.603,0,18,0,3,42.87,1
41,12,315.62,288.24,insufficient_funds,visa,0.781,2,14,4,1,904.39,0
59,9,91.58,100.83,insufficient_funds,hipercard,0.722,2,20,3,1,470.13,0
17,20,92.38,97.38,card_declined,elo,0.707,1,19,1,3,121.17,1
6,29,31.31,29.67,insufficient_funds,visa,0.417,1,20,3,1,31.31,1
1,24,65.1,64.05,insufficient_funds,visa,0.638,2,12,6,4,65.1,0
13,15,143.05,131.27,processing_error,amex,0.725,1,19,6,2,143.05,1
22,14,30.83,31.41,expired_card,visa,0.7,3,18,5,1,51.06,1
62,27,60.55,57.98,processing_error,visa,0.688,1,22,0,1,284.59,1
70,17,67.28,74.86,insufficient_funds,visa,0.656,1,17,2,1,414.85,1
0,16,103.69,104.57,expired_card,visa,0.534,1,9,4,1,103.69,1
1,21,363.83,354.2,expired_card,mastercard,0.529,0,16,1,2,363.83,1
58,7,74.88,80.49,expired_card,elo,0.927,1,17,6,3,368.29,1
0,3,52.93,59.36,expired_card,mastercard,0.656,2,22,4,1,52.93,0
50,25,1121.03,1227.78,card_declined,visa,0.726,1,12,1,1,4774.7,0
0,18,66.53,66.43,processing_error,mastercard,0.474,1,14,6,1,66.53,1
0,6,82.52,78.97,insufficient_funds,visa,0.501,2,20,4,1,82.52,1
11,9,71.13,74.59,insufficient_funds,mastercard,0.551,2,17,5,1,71.13,0
63,31,76.44,83.71,insufficient_funds,mastercard,0.837,0,15,4,1,417.5,1
20,19,104.74,119.78,insufficient_funds,hipercard,0.601,0,19,6,2,176.34,0
4,19,221.48,218.64,expired_card,elo,0.407,2,1,5,1,221.48,0
2,3,139.95,147.01,insufficient_funds,elo,0.494,1,14,6,1,139.95,1
0,29,254.47,238.68,insufficient_funds,mastercard,0.63,1,14,6,1,254.47,1
0,26,247.1,216.52,do_not_honor,mastercard,0.42,1,8,4,4,247.1,0
32,17,117.64,108.92,do_not_honor,mastercard,0.791,1,23,5,2,262.38,1
4,10,136.55,116.66,expired_card,elo,0.217,1,23,2,1,136.55,0
10,22,261.72,262.46,insufficient_funds,amex,0.507,0,17,0,1,261.72,1
9,25,36.43,35.04,insufficient_funds,hipercard,0.42,3,13,3,1,36.43,0
3,24,899.25,947.34,insufficient_funds,mastercard,0.168,0,17,0,2,899.25,1
2,30,62.0,64.14,insufficient_funds,mastercard,0.593,3,22,1,4,62.0,1
4,19,71.57,64.44,insufficient_funds,visa,0.565,2,22,3,1,71.57,0
6,10,33.31,35.05,card_declined,visa,0.67,0,13,1,3,33.31,0
0,16,34.2,30.99,insufficient_funds,elo,0.491,0,18,0,3,34.2,0
16,24,232.21,197.79,insufficient_funds,hipercard,0.685,3,10,1,2,232.21,1
2,8,734.37,837.96,expired_card,amex,0.607,0,18,3,2,734.37,1
0,7,59.06,50.68,insufficient_funds,amex,0.382,0,11,3,4,59.06,0
13,23,133.08,126.76,insufficient_funds,mastercard,0.682,1,20,1,2,133.08,1
9,14,118.86,123.76,insufficient_funds,elo,0.684,3,18,4,2,118.86,0
26,24,237.68,228.44,insufficient_funds,mastercard,0.421,3,0,1,2,442.16,0
60,5,701.54,676.54,insufficient_funds,mastercard,0.531,0,16,4,3,3213.56,1
0,11,377.47,402.69,insufficient_funds,visa,0.44,3,15,1,1,377.47,0
8,8,79.08,81.5,insufficient_funds,mastercard,0.694,1,23,0,3,79.08,1
5,22,156.35,157.21,processing_error,visa,0.644,1,16,2,3,156.35,1
14,24,170.77,190.56,processing_error,elo,0.564,1,9,5,1,194.16,1
33,15,96.02,84.73,insufficient_funds,hipercard,0.6,1,20,4,1,210.87,0
43,15,36.92,36.59,processing_error,elo,0.761,0,22,4,3,120.84,1
6,4,48.08,44.32,insufficient_funds,visa,0.66,1,16,0,3,48.08,0
0,22,271.05,233.39,insufficient_funds,mastercard,0.629,1,22,1,2,271.05,0
12,31,297.06,339.75,insufficient_funds,mastercard,0.651,3,13,4,2,297.06,1
2,24,81.29,87.0,insufficient_funds,elo,0.315,1,12,4,3,81.29,0
20,7,123.26,112.77,insufficient_funds,visa,0.591,2,22,2,1,166.02,1
5,19,283.14,274.85,generic_decline,mastercard,0.57,2,14,6,1,283.14,0
15,9,21.51,19.74,insufficient_funds,amex,0.55,5,23,6,3,21.59,0
17,2,65.75,69.4,insufficient_funds,visa,0.683,1,23,0,1,86.35,1
10,6,586.91,560.58,insufficient_funds,elo,0.616,2,16,1,1,586.91,0
5,4,127.52,143.58,do_not_honor,amex,0.622,0,20,6,3,127.52,0
5,6,35.85,32.7,insufficient_funds,elo,0.483,1,20,5,1,35.85,0
4,24,108.48,103.59,do_not_honor,hipercard,0.549,0,13,1,1,108.48,0
2,9,242.19,273.56,insufficient_funds,elo,0.513,0,15,6,1,242.19,0
37,24,10.18,11.35,card_declined,mastercard,0.743,0,22,4,1,31.9,1
16,28,114.32,107.23,insufficient_funds,mastercard,0.43,0,15,3,2,125.34,0
11,17,70.22,69.86,insufficient_funds,visa,0.379,2,13,4,4,70.22,1
4,15,22.73,25.35,insufficient_funds,visa,0.546,1,9,1,1,22.73,0
20,23,105.13,110.51,insufficient_funds,mastercard,0.574,3,14,2,4,162.7,0
1,4,86.59,90.16,insufficient_funds,visa,0.628,4,15,2,1,86.59,0
0,14,95.68,100.29,insufficient_funds,visa,0.569,1,15,2,3,95.68,0
23,16,71.74,80.8,expired_card,elo,0.547,1,19,0,3,137.57,1
4,25,39.45,39.65,expired_card,visa,0.633,2,23,2,1,39.45,0
1,24,26.85,24.29,insufficient_funds,visa,0.229,2,14,0,1,26.85,0
34,25,52.92,52.49,card_declined,mastercard,0.478,0,20,4,1,134.84,1
18,22,209.7,224.1,card_declined,visa,0.725,1,17,6,4,295.81,0
3,16,120.23,119.95,generic_decline,mastercard,0.699,1,21,4,1,120.23,1
4,25,91.92,86.77,insufficient_funds,visa,0.634,1,14,2,2,91.92,0
5,26,38.81,40.75,insufficient_funds,elo,0.668,6,15,3,1,38.81,0
18,15,70.12,69.07,generic_decline,mastercard,0.615,0,13,4,2,91.17,1
16,30,188.15,214.27,generic_decline,mastercard,0.725,3,18,6,2,250.46,1
12,26,153.06,146.27,do_not_honor,visa,0.282,1,12,6,1,153.06,0
9,16,63.98,68.15,expired_card,elo,0.471,2,14,4,3,63.98,1
38,3,9.61,9.77,expired_card,visa,0.649,0,16,2,1,28.26,0
15,7,53.67,46.87,do_not_honor,mastercard,0.448,2,20,1,3,53.67,1
9,24,63.66,63.08,insufficient_funds,visa,0.562,1,17,1,2,63.66,0
15,4,43.67,37.5,insufficient_funds,visa,0.705,1,16,0,4,43.67,1
9,15,67.72,73.61,generic_decline,visa,0.544,1,8,2,3,67.72,0
41,18,201.89,216.09,processing_error,visa,0.628,3,7,0,3,678.01,0
8,26,94.56,81.81,insufficient_funds,visa,0.595,1,13,4,1,94.56,1
2,25,235.46,235.44,insufficient_funds,visa,0.553,1,0,0,1,235.46,1
0,24,25.6,29.14,do_not_honor,amex,0.272,2,11,5,4,25.6,1
22,13,74.55,69.73,insufficient_funds,mastercard,0.591,2,23,1,1,113.35,1
70,5,17.46,19.58,card_declined,mastercard,0.629,0,11,5,1,108.51,1
1,20,66.92,59.92,insufficient_funds,visa,0.319,0,20,0,3,66.92,0
11,6,38.61,32.89,insufficient_funds,visa,0.432,1,18,0,3,38.61,0
47,17,305.07,307.86,card_declined,hipercard,0.88,2,9,5,4,1119.37,0
1,30,140.66,129.66,generic_decline,visa,0.643,0,11,4,2,140.66,1
0,17,240.78,268.17,insufficient_funds,elo,0.457,1,1,0,3,240.78,0
14,19,66.75,70.23,insufficient_funds,mastercard,0.582,3,1,6,1,71.56,1
63,20,39.51,41.73,insufficient_funds,mastercard,0.947,1,22,4,2,208.13,1
5,25,38.41,40.41,insufficient_funds,elo,0.66,3,23,3,4,38.41,0
44,14,123.74,130.38,do_not_honor,elo,0.664,3,22,4,4,441.41,0
3,16,488.02,524.2,insufficient_funds,amex,0.487,1,13,4,3,488.02,0
0,6,140.99,148.18,generic_decline,mastercard,0.628,2,8,0,2,140.99,0
6,18,70.07,77.1,do_not_honor,visa,0.649,3,20,6,1,70.07,1
0,9,82.66,84.1,insufficient_funds,mastercard,0.602,3,12,5,1,82.66,0
3,16,95.07,90.81,insufficient_funds,visa,0.415,1,10,3,1,95.07,1
31,24,591.5,585.62,generic_decline,visa,0.807,0,15,3,1,1364.09,0
62,1,292.43,287.19,insufficient_funds,mastercard,0.571,1,8,5,1,1409.62,0
1,17,123.14,116.95,do_not_honor,visa,0.612,4,0,0,2,123.14,0
6,6,107.76,105.03,insufficient_funds,amex,0.513,2,15,6,1,107.76,1
22,9,127.53,123.13,insufficient_funds,hipercard,0.448,3,17,6,1,200.15,0
3,2,151.63,133.94,insufficient_funds,visa,0.483,1,17,2,1,151.63,1
5,6,67.72,74.44,insufficient_funds,visa,0.543,3,0,3,2,67.72,0
7,31,46.18,49.73,card_declined,mastercard,0.458,1,8,4,3,46.18,0
5,31,244.53,232.61,expired_card,visa,0.664,2,10,5,1,244.53,0
7,22,99.68,112.99,insufficient_funds,visa,0.716,4,13,5,1,99.68,1
44,18,227.05,257.66,expired_card,amex,0.747,2,19,4,2,872.32,1
30,24,421.86,467.01,insufficient_funds,visa,0.531,4,0,5,2,1050.77,1
15,27,155.22,133.3,do_not_honor,visa,0.524,1,10,1,1,155.22,0
14,16,134.41,129.22,do_not_honor,mastercard,0.36,2,19,3,2,134.41,1
21,2,1312.67,1295.87,expired_card,visa,0.67,2,14,6,1,2006.98,0
27,22,117.48,125.19,generic_decline,elo,0.449,1,15,4,1,252.1,0
10,30,37.1,38.6,insufficient_funds,elo,0.407,2,8,5,3,37.1,0
13,8,76.14,80.21,insufficient_funds,visa,0.514,2,12,2,1,76.14,1
69,15,387.91,419.01,insufficient_funds,visa,0.692,1,13,3,3,2288.84,0
71,12,30.96,35.13,processing_error,amex,0.591,2,23,0,2,197.46,0
38,12,50.1,50.87,insufficient_funds,mastercard,0.751,0,16,4,3,147.13,0
24,22,261.19,292.85,do_not_honor,mastercard,0.572,1,9,3,1,521.27,0
2,12,76.79,84.04,insufficient_funds,visa,0.524,3,19,6,1,76.79,1
25,28,88.63,84.32,insufficient_funds,mastercard,0.77,2,22,3,1,156.64,1
67,24,253.63,277.5,expired_card,visa,0.772,1,2,3,3,1471.91,1
22,2,51.71,45.77,expired_card,mastercard,0.64,4,16,3,1,74.4,0
70,25,26.52,23.81,insufficient_funds,mastercard,0.854,2,14,6,2,131.95,1
0,24,28.46,32.66,processing_error,mastercard,0.417,3,17,3,3,28.46,0
6,16,163.89,160.38,expired_card,mastercard,0.561,2,9,2,1,163.89,0
0,16,123.05,121.6,insufficient_funds,elo,0.627,2,10,1,1,123.05,0
0,25,52.84,59.99,card_declined,elo,0.564,1,16,6,1,52.84,1
15,14,34.92,33.47,insufficient_funds,mastercard,0.718,2,15,4,1,36.61,1
1,5,76.86,70.79,processing_error,visa,0.424,5,18,0,1,76.86,0
44,10,263.54,230.16,insufficient_funds,elo,0.765,1,18,0,1,779.22,1
4,8,46.52,46.84,expired_card,elo,0.466,1,20,3,2,46.52,1
3,21,54.26,49.37,insufficient_funds,visa,0.686,0,19,4,1,54.26,0
1,6,33.95,29.52,insufficient_funds,amex,0.464,4,23,1,4,33.95,1
47,19,70.53,77.15,expired_card,hipercard,0.701,2,17,0,1,280.52,1
0,15,131.99,125.2,insufficient_funds,mastercard,0.596,3,20,4,2,131.99,0
40,25,639.9,655.14,expired_card,visa,0.722,3,22,0,1,2001.82,0
19,15,118.61,104.54,expired_card,mastercard,0.618,2,15,3,1,145.93,0
5,28,93.2,93.36,insufficient_funds,visa,0.479,1,9,6,1,93.2,0
71,27,210.39,218.71,insufficient_funds,visa,0.571,1,21,3,2,1229.33,1
57,6,181.43,178.7,card_declined,visa,0.576,4,9,0,4,802.14,0
1,21,58.51,55.66,insufficient_funds,elo,0.422,0,13,3,3,58.51,1
64,7,755.45,712.61,insufficient_funds,mastercard,0.831,1,20,0,1,3610.56,0
4,25,95.65,84.44,insufficient_funds,mastercard,0.395,2,11,5,1,95.65,0
30,19,120.59,106.69,insufficient_funds,visa,0.752,2,11,3,2,240.05,1
1,9,159.52,159.31,card_declined,mastercard,0.561,1,21,2,2,159.52,0
54,8,132.91,118.51,do_not_honor,mastercard,0.535,1,13,3,1,501.3,1
3,14,378.95,347.51,expired_card,mastercard,0.437,1,16,1,2,378.95,0
1,24,57.88,52.06,expired_card,visa,0.284,3,12,1,2,57.88,0
49,24,196.03,213.82,insufficient_funds,visa,0.772,0,14,2,2,813.44,1
21,2,113.14,111.43,card_declined,visa,0.729,2,20,4,1,172.58,0
7,9,234.01,237.7,processing_error,elo,0.419,2,21,3,1,234.01,0
0,14,80.76,82.77,insufficient_funds,mastercard,0.457,1,15,0,1,80.76,0
0,17,71.6,69.37,card_declined,elo,0.511,2,15,6,1,71.6,1
9,5,187.3,175.97,insufficient_funds,mastercard,0.607,1,18,1,1,187.3,1
1,11,134.34,129.6,insufficient_funds,visa,0.542,2,12,6,1,134.34,0
9,26,47.17,47.66,insufficient_funds,visa,0.562,1,19,2,2,47.17,1
5,15,323.02,309.32,insufficient_funds,visa,0.414,2,23,3,1,323.02,0
51,23,187.37,166.94,insufficient_funds,mastercard,0.667,1,10,3,1,663.38,1
1,15,91.51,102.87,insufficient_funds,elo,0.405,0,14,4,1,91.51,1
13,15,64.49,68.99,insufficient_funds,visa,0.531,1,9,1,2,65.15,0
55,19,135.08,117.5,insufficient_funds,mastercard,0.8,3,9,4,2,507.13,1
4,8,175.76,197.15,insufficient_funds,visa,0.693,1,16,2,1,175.76,1
10,8,23.72,21.38,insufficient_funds,visa,0.727,2,12,4,3,23.72,1
0,31,136.47,120.0,processing_error,mastercard,0.527,1,12,3,1,136.47,1
66,26,174.52,157.41,expired_card,visa,0.837,0,14,5,3,822.47,0
33,23,12.09,13.66,insufficient_funds,visa,0.604,2,18,6,1,34.0,1
2,5,116.36,106.63,insufficient_funds,elo,0.634,1,12,2,1,116.36,1
54,2,181.17,196.77,insufficient_funds,mastercard,0.8,2,16,1,2,832.34,1
5,6,163.76,170.79,insufficient_funds,visa,0.397,0,20,0,2,163.76,1
11,28,199.38,200.47,insufficient_funds,mastercard,0.581,1,8,2,1,199.38,1
3,24,73.07,70.12,insufficient_funds,visa,0.526,1,10,3,1,73.07,1
7,16,38.81,34.07,insufficient_funds,amex,0.515,0,16,4,2,38.81,1
32,29,19.76,21.01,card_declined,elo,0.768,2,12,4,1,50.61,0
1,5,257.91,249.77,insufficient_funds,visa,0.393,2,23,1,1,257.91,1
4,17,182.53,184.45,insufficient_funds,mastercard,0.66,3,8,3,1,182.53,0
2,6,275.99,238.88,insufficient_funds,visa,0.36,2,13,5,1,275.99,0
2,10,51.33,55.58,do_not_honor,elo,0.47,2,0,5,4,51.33,0
3,28,199.63,211.14,card_declined,visa,0.487,3,0,3,2,199.63,0
7,26,25.73,25.96,expired_card,mastercard,0.665,1,7,0,2,25.73,0
63,4,45.15,45.1,do_not_honor,visa,0.658,2,14,2,2,224.94,0
9,8,109.32,103.98,expired_card,elo,0.382,0,13,0,1,109.32,1
4,18,176.18,167.85,insufficient_funds,hipercard,0.627,3,14,4,1,176.18,0
41,2,434.36,378.13,card_declined,visa,0.633,1,14,2,1,1186.44,1
0,17,78.98,83.4,insufficient_funds,mastercard,0.51,2,8,1,2,78.98,1
42,17,45.3,39.12,expired_card,mastercard,0.7,3,17,1,2,125.97,0
0,9,43.28,36.81,insufficient_funds,mastercard,0.644,1,13,0,2,43.28,0
66,9,53.06,45.59,insufficient_funds,visa,0.852,2,16,5,2,238.21,1
52,7,702.99,640.45,insufficient_funds,mastercard,0.817,3,20,0,1,2599.52,0
24,28,191.47,195.5,insufficient_funds,elo,0.738,1,22,2,1,347.99,0
45,12,262.61,276.88,expired_card,hipercard,0.817,1,22,4,2,960.43,0
3,17,79.05,77.17,insufficient_funds,elo,0.638,2,14,5,3,79.05,0
1,9,97.61,94.93,insufficient_funds,mastercard,0.426,1,10,6,2,97.61,0
16,22,181.92,186.11,insufficient_funds,visa,0.497,0,16,1,1,217.54,1
20,4,62.37,64.18,processing_error,visa,0.446,4,22,0,3,94.49,1
51,3,75.46,83.27,processing_error,mastercard,0.658,3,20,4,2,330.89,1
24,23,53.68,58.82,card_declined,mastercard,0.647,1,15,3,2,104.7,0
14,23,65.69,72.07,insufficient_funds,elo,0.516,2,20,2,2,73.43,0
1,8,102.1,112.64,insufficient_funds,mastercard,0.497,4,10,4,2,102.1,0
7,12,47.11,52.48,insufficient_funds,visa,0.251,0,0,6,2,47.11,0
0,29,126.02,128.11,insufficient_funds,visa,0.394,2,22,1,1,126.02,0
5,4,125.86,129.45,insufficient_funds,mastercard,0.529,0,23,4,2,125.86,0
2,6,83.36,89.04,do_not_honor,visa,0.566,1,19,3,2,83.36,0
11,14,46.87,42.64,insufficient_funds,visa,0.594,4,13,4,1,46.87,1
12,9,107.3,102.81,insufficient_funds,visa,0.55,2,8,3,1,107.3,0
0,19,62.42,70.15,expired_card,mastercard,0.601,3,1,6,2,62.42,0
0,21,101.88,102.58,insufficient_funds,visa,0.681,0,0,1,1,101.88,1
62,16,259.27,224.41,insufficient_funds,hipercard,0.89,3,12,6,1,1101.48,1
49,18,32.12,31.21,card_declined,amex,0.86,2,12,4,3,118.73,0
7,14,673.92,605.34,processing_error,visa,0.323,2,12,6,2,673.92,0
51,24,91.65,87.7,card_declined,elo,0.832,0,22,5,2,348.5,1
12,2,140.93,142.83,do_not_honor,mastercard,0.554,3,10,4,2,140.93,0
48,10,50.09,50.17,insufficient_funds,amex,0.78,0,9,0,2,186.63,1
1,21,269.62,268.85,expired_card,mastercard,0.475,2,14,4,1,269.62,0
10,11,87.43,74.8,do_not_honor,visa,0.644,1,20,1,1,87.43,0
0,3,68.88,67.75,insufficient_funds,visa,0.604,2,15,2,3,68.88,1
2,11,58.63,50.34,processing_error,hipercard,0.618,0,18,2,3,58.63,0
16,22,77.01,74.81,do_not_honor,amex,0.471,1,17,6,1,87.44,0
0,4,141.74,147.99,expired_card,mastercard,0.493,1,10,6,2,141.74,0
39,23,113.97,101.18,insufficient_funds,mastercard,0.57,2,19,5,1,300.88,0
5,24,94.35,106.15,insufficient_funds,mastercard,0.561,1,9,0,3,94.35,0
13,19,51.96,53.99,card_declined,elo,0.626,0,18,2,1,51.96,1
3,8,49.36,45.18,do_not_honor,mastercard,0.594,0,22,0,1,49.36,0
0,24,64.91,62.85,insufficient_funds,visa,0.362,1,9,5,1,64.91,1
4,7,147.12,129.33,insufficient_funds,visa,0.428,2,9,0,2,147.12,1
3,27,176.04,150.8,insufficient_funds,mastercard,0.533,1,23,4,2,176.04,0
42,22,198.43,223.19,insufficient_funds,visa,0.851,2,23,3,2,718.67,0
59,2,97.62,102.75,card_declined,elo,0.932,1,15,1,4,479.09,0
14,24,137.43,148.96,insufficient_funds,hipercard,0.675,0,9,3,1,151.77,1
5,16,84.16,87.24,insufficient_funds,visa,0.664,2,17,1,2,84.16,0
4,15,20.8,23.34,expired_card,amex,0.454,0,16,1,1,20.8,1
17,14,80.69,90.27,insufficient_funds,elo,0.248,1,14,0,2,112.32,0
21,18,70.04,60.76,card_declined,mastercard,0.479,1,19,3,1,94.1,1
26,23,38.84,35.22,insufficient_funds,visa,0.521,1,11,6,4,68.17,0
8,27,59.05,57.2,insufficient_funds,mastercard,0.664,0,20,2,3,59.05,1
4,8,110.21,104.96,processing_error,hipercard,0.629,2,17,3,4,110.21,0
63,19,35.72,35.99,insufficient_funds,mastercard,0.89,0,9,2,2,179.5,1
3,21,51.99,48.35,insufficient_funds,mastercard,0.55,2,14,1,2,51.99,0
27,20,386.6,421.1,insufficient_funds,visa,0.646,1,16,3,1,847.99,1
31,16,23.54,20.06,expired_card,visa,0.749,1,15,1,1,46.73,1
0,12,83.07,90.33,insufficient_funds,mastercard,0.619,1,15,4,1,83.07,1
2,24,34.69,33.58,expired_card,mastercard,0.554,0,20,6,4,34.69,0
46,9,50.14,42.7,insufficient_funds,amex,0.727,1,16,2,2,151.68,0
0,6,82.0,90.54,do_not_honor,mastercard,0.462,1,11,4,1,82.0,0
2,17,40.66,40.01,expired_card,visa,0.432,0,16,1,2,40.66,0
36,8,162.75,173.72,processing_error,visa,0.686,0,12,3,2,474.26,0
3,2,324.61,361.46,card_declined,visa,0.651,6,10,3,4,324.61,0
15,2,206.45,177.61,processing_error,visa,0.638,1,23,5,2,206.45,1
0,21,242.88,225.55,insufficient_funds,visa,0.246,1,17,4,3,242.88,0
0,30,28.7,25.42,insufficient_funds,elo,0.296,1,13,1,3,28.7,0
19,15,78.77,69.27,do_not_honor,mastercard,0.746,4,12,5,2,96.7,1
63,5,148.06,167.85,do_not_honor,amex,0.895,3,14,5,1,837.15,1
4,25,211.93,231.36,do_not_honor,hipercard,0.416,2,20,3,1,211.93,0
0,8,464.01,445.18,generic_decline,visa,0.648,1,20,3,3,464.01,0
2,31,252.66,266.86,expired_card,elo,0.398,1,16,4,3,252.66,0
4,17,216.75,244.02,insufficient_funds,visa,0.327,5,20,2,1,216.75,0
10,7,1014.17,929.23,processing_error,visa,0.595,1,16,3,1,1014.17,1
7,16,106.48,90.96,insufficient_funds,visa,0.523,0,20,4,3,106.48,0
4,11,75.61,82.96,processing_error,visa,0.605,0,20,1,1,75.61,1
13,24,114.43,122.08,processing_error,mastercard,0.484,2,16,0,2,115.28,0
66,4,43.36,38.94,expired_card,elo,0.877,5,10,1,4,203.46,0
16,25,103.8,103.48,insufficient_funds,mastercard,0.573,1,19,2,2,120.96,1
66,24,21.08,18.93,expired_card,mastercard,0.705,2,21,6,1,98.91,0
47,26,61.07,62.95,do_not_honor,elo,0.691,0,16,6,4,228.88,0
31,27,88.23,92.14,insufficient_funds,elo,0.767,1,18,4,1,214.62,0
3,7,227.23,212.01,insufficient_funds,amex,0.301,5,15,0,3,227.23,1
1,16,262.27,284.37,card_declined,mastercard,0.197,3,0,0,1,262.27,0
58,25,41.53,41.2,processing_error,visa,0.68,1,20,0,1,188.51,1
12,12,618.03,656.29,expired_card,mastercard,0.44,2,15,2,1,618.03,1
65,2,111.52,116.2,expired_card,mastercard,0.931,3,23,4,2,597.95,1
8,9,120.98,119.19,insufficient_funds,visa,0.321,1,1,6,2,120.98,1
2,8,23.23,21.79,insufficient_funds,elo,0.461,0,22,1,2,23.23,0
0,26,56.35,51.35,do_not_honor,amex,0.622,2,9,0,1,56.35,0
0,15,248.38,266.71,insufficient_funds,hipercard,0.607,1,8,1,4,248.38,1
18,21,113.66,118.5,insufficient_funds,visa,0.597,0,14,3,1,156.42,1
