days_since_last,features_used_30d,mrr,evento_cancelamento,evento_downgrade,evento_sessao,event,risk_regra,churn
2.0,3.0,2883.54,0.0,0.0,1.0,Session Started,0.167,0
4.0,2.0,11110.99,0.0,1.0,0.0,Downgrade Clicked,0.75,1
1.0,3.0,1779.32,0.0,0.0,1.0,Session Started,0.143,0
9.0,1.0,4413.05,0.0,0.0,1.0,Session Started,0.45,1
8.0,2.0,930.78,0.0,1.0,0.0,Downgrade Clicked,0.75,1
7.0,6.0,473.45,0.0,0.0,1.0,Session Started,0.163,0
3.0,1.0,1363.98,0.0,0.0,1.0,Session Started,0.31,0
5.0,2.0,503.62,0.0,0.0,1.0,Session Started,0.297,0
4.0,10.0,1829.39,0.0,0.0,1.0,Session Started,0.093,0
5.0,4.0,968.39,0.0,0.0,1.0,Session Started,0.177,1
0.0,7.0,378.64,0.0,0.0,1.0,Session Started,0.0,0
3.0,2.0,7250.46,0.0,0.0,1.0,Session Started,0.25,0
0.0,16.0,1176.09,0.0,0.0,1.0,Session Started,0.0,0
3.0,1.0,487.8,0.0,0.0,1.0,Session Started,0.31,1
2.0,2.0,3709.07,0.0,1.0,0.0,Downgrade Clicked,0.75,1
1.0,2.0,1009.4,0.0,0.0,1.0,Session Started,0.203,0
1.0,4.0,4324.85,0.0,0.0,1.0,Session Started,0.083,0
4.0,8.0,1005.54,0.0,0.0,1.0,Session Started,0.093,0
1.0,3.0,1172.96,0.0,0.0,1.0,Session Started,0.143,0
10.0,2.0,2382.4,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
4.0,2.0,2906.12,0.0,0.0,1.0,Session Started,0.273,1
2.0,2.0,3343.55,0.0,0.0,1.0,Session Started,0.227,0
4.0,2.0,1682.79,0.0,0.0,1.0,Session Started,0.273,0
0.0,1.0,2759.74,0.0,0.0,1.0,Session Started,0.24,0
11.0,2.0,3282.97,0.0,0.0,1.0,Session Started,0.437,0
3.0,6.0,2122.72,0.0,0.0,1.0,Session Started,0.07,0
8.0,3.0,1613.04,0.0,0.0,1.0,Session Started,0.307,0
0.0,4.0,568.93,0.0,0.0,1.0,Session Started,0.06,0
3.0,2.0,2920.0,0.0,0.0,1.0,Session Started,0.25,0
3.0,2.0,1870.08,0.0,1.0,0.0,Downgrade Clicked,0.75,1
10.0,1.0,1298.68,0.0,0.0,1.0,Session Started,0.473,1
4.0,2.0,5025.16,0.0,0.0,1.0,Session Started,0.273,0
3.0,2.0,576.94,0.0,1.0,0.0,Downgrade Clicked,0.75,1
2.0,1.0,6736.05,0.0,0.0,1.0,Session Started,0.287,0
2.0,1.0,1776.11,0.0,0.0,1.0,Session Started,0.287,0
3.0,2.0,2330.91,0.0,1.0,0.0,Downgrade Clicked,0.75,1
3.0,2.0,1318.12,0.0,1.0,0.0,Downgrade Clicked,0.75,1
0.0,2.0,476.44,0.0,0.0,1.0,Session Started,0.18,0
8.0,1.0,1616.97,0.0,0.0,1.0,Session Started,0.427,0
9.0,2.0,2363.26,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
1.0,2.0,3105.66,0.0,0.0,1.0,Session Started,0.203,1
4.0,2.0,1543.14,0.0,0.0,1.0,Session Started,0.273,1
1.0,2.0,312.93,0.0,0.0,1.0,Session Started,0.203,0
7.0,1.0,526.72,0.0,0.0,1.0,Session Started,0.403,1
2.0,8.0,9335.84,0.0,0.0,1.0,Session Started,0.047,0
6.0,1.0,754.44,0.0,1.0,0.0,Downgrade Clicked,0.75,1
7.0,2.0,5662.61,0.0,0.0,1.0,Session Started,0.343,0
8.0,1.0,856.39,0.0,0.0,1.0,Session Started,0.427,1
1.0,2.0,1562.49,0.0,0.0,1.0,Session Started,0.203,0
10.0,1.0,2981.45,0.0,0.0,1.0,Session Started,0.473,1
2.0,6.0,938.09,0.0,0.0,1.0,Session Started,0.047,0
0.0,2.0,6462.5,0.0,0.0,1.0,Session Started,0.18,0
4.0,2.0,1920.96,0.0,0.0,1.0,Session Started,0.273,0
3.0,1.0,2614.11,0.0,0.0,1.0,Session Started,0.31,1
8.0,1.0,1459.6,0.0,0.0,1.0,Session Started,0.427,0
8.0,2.0,3062.47,0.0,0.0,1.0,Session Started,0.367,0
2.0,2.0,6393.48,0.0,1.0,0.0,Downgrade Clicked,0.75,1
11.0,2.0,1627.78,0.0,0.0,1.0,Session Started,0.437,0
2.0,11.0,7213.94,0.0,0.0,1.0,Session Started,0.047,0
3.0,3.0,1108.46,0.0,0.0,1.0,Session Started,0.19,1
2.0,15.0,3331.83,0.0,0.0,1.0,Session Started,0.047,0
10.0,1.0,2673.89,0.0,0.0,1.0,Session Started,0.473,0
1.0,4.0,769.03,0.0,0.0,1.0,Session Started,0.083,0
0.0,2.0,2145.33,0.0,0.0,1.0,Session Started,0.18,1
3.0,2.0,1818.73,0.0,0.0,1.0,Session Started,0.25,1
16.0,14.0,913.65,0.0,0.0,1.0,Session Started,0.373,1
9.0,2.0,2407.64,0.0,0.0,1.0,Session Started,0.39,1
7.0,7.0,2032.52,0.0,0.0,1.0,Session Started,0.163,0
9.0,3.0,1706.04,0.0,0.0,1.0,Session Started,0.33,1
9.0,1.0,1711.52,0.0,0.0,1.0,Session Started,0.45,0
3.0,2.0,1682.43,0.0,0.0,1.0,Session Started,0.25,1
2.0,2.0,1347.28,0.0,1.0,0.0,Downgrade Clicked,0.75,1
8.0,8.0,2022.05,0.0,0.0,1.0,Session Started,0.187,0
6.0,4.0,1080.16,0.0,0.0,1.0,Session Started,0.2,1
3.0,1.0,15145.33,0.0,0.0,1.0,Session Started,0.31,0
1.0,1.0,585.54,0.0,0.0,1.0,Session Started,0.263,0
7.0,1.0,1132.53,0.0,0.0,1.0,Session Started,0.403,1
2.0,2.0,1206.41,0.0,1.0,0.0,Downgrade Clicked,0.75,1
10.0,1.0,9250.15,0.0,0.0,1.0,Session Started,0.473,0
2.0,3.0,628.85,0.0,0.0,1.0,Session Started,0.167,0
1.0,2.0,2542.08,0.0,0.0,1.0,Session Started,0.203,0
8.0,5.0,2205.51,0.0,0.0,1.0,Session Started,0.187,1
1.0,1.0,2361.1,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
1.0,2.0,4861.36,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
4.0,1.0,4782.24,0.0,0.0,1.0,Session Started,0.333,0
9.0,7.0,1260.46,0.0,0.0,1.0,Session Started,0.21,0
1.0,1.0,2111.63,0.0,0.0,1.0,Session Started,0.263,0
2.0,1.0,406.96,0.0,0.0,1.0,Session Started,0.287,0
8.0,1.0,1957.21,0.0,0.0,1.0,Session Started,0.427,0
12.0,4.0,957.96,0.0,1.0,0.0,Downgrade Clicked,0.75,1
3.0,1.0,1557.59,0.0,0.0,1.0,Session Started,0.31,0
1.0,2.0,469.52,0.0,0.0,1.0,Session Started,0.203,0
0.0,3.0,2499.63,0.0,0.0,1.0,Session Started,0.12,0
2.0,3.0,465.33,0.0,0.0,1.0,Session Started,0.167,0
1.0,1.0,2035.77,0.0,0.0,1.0,Session Started,0.263,0
7.0,1.0,677.76,0.0,0.0,1.0,Session Started,0.403,0
1.0,2.0,916.25,0.0,0.0,1.0,Session Started,0.203,0
3.0,1.0,4554.11,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
7.0,2.0,2893.82,0.0,0.0,1.0,Session Started,0.343,0
4.0,2.0,4534.01,0.0,0.0,1.0,Session Started,0.273,0
1.0,2.0,6296.7,0.0,0.0,1.0,Session Started,0.203,0
8.0,1.0,974.31,0.0,0.0,1.0,Session Started,0.427,0
7.0,2.0,5997.98,0.0,0.0,1.0,Session Started,0.343,1
7.0,1.0,559.81,0.0,1.0,0.0,Downgrade Clicked,0.75,1
1.0,2.0,3284.21,0.0,0.0,1.0,Session Started,0.203,0
1.0,1.0,1218.44,0.0,0.0,1.0,Session Started,0.263,0
10.0,12.0,858.99,0.0,0.0,1.0,Session Started,0.233,1
3.0,2.0,2955.95,0.0,0.0,1.0,Session Started,0.25,1
2.0,1.0,3850.51,0.0,0.0,1.0,Session Started,0.287,1
3.0,1.0,3760.15,0.0,0.0,1.0,Session Started,0.31,0
6.0,2.0,2147.13,0.0,0.0,1.0,Session Started,0.32,1
11.0,1.0,2009.35,0.0,1.0,0.0,Downgrade Clicked,0.75,0
2.0,1.0,2755.88,0.0,0.0,1.0,Session Started,0.287,1
10.0,7.0,2305.4,0.0,0.0,1.0,Session Started,0.233,0
0.0,2.0,2788.01,0.0,0.0,1.0,Session Started,0.18,0
4.0,1.0,2128.56,0.0,0.0,1.0,Session Started,0.333,0
5.0,2.0,3548.31,0.0,0.0,1.0,Session Started,0.297,0
1.0,1.0,491.88,0.0,0.0,1.0,Session Started,0.263,0
1.0,12.0,1627.79,0.0,0.0,1.0,Session Started,0.023,0
3.0,1.0,597.6,0.0,0.0,1.0,Session Started,0.31,0
12.0,3.0,2256.03,0.0,1.0,0.0,Downgrade Clicked,0.75,1
4.0,4.0,6724.71,0.0,0.0,1.0,Session Started,0.153,1
10.0,1.0,1237.36,0.0,0.0,1.0,Session Started,0.473,1
8.0,1.0,2001.8,0.0,0.0,1.0,Session Started,0.427,0
3.0,2.0,3311.61,0.0,0.0,1.0,Session Started,0.25,0
8.0,6.0,345.79,0.0,0.0,1.0,Session Started,0.187,0
0.0,2.0,1190.72,0.0,0.0,1.0,Session Started,0.18,0
1.0,2.0,2420.22,0.0,0.0,1.0,Session Started,0.203,0
8.0,4.0,178.11,0.0,0.0,1.0,Session Started,0.247,0
8.0,5.0,827.62,0.0,0.0,1.0,Session Started,0.187,0
2.0,2.0,4362.0,0.0,0.0,1.0,Session Started,0.227,0
4.0,2.0,4033.53,0.0,0.0,1.0,Session Started,0.273,0
4.0,3.0,2439.27,0.0,0.0,1.0,Session Started,0.213,0
9.0,1.0,3661.98,0.0,0.0,1.0,Session Started,0.45,1
4.0,6.0,2147.55,0.0,0.0,1.0,Session Started,0.093,0
3.0,1.0,2819.5,0.0,0.0,1.0,Session Started,0.31,0
3.0,1.0,1404.56,0.0,0.0,1.0,Session Started,0.31,0
3.0,4.0,1983.56,0.0,0.0,1.0,Session Started,0.13,0
6.0,2.0,1090.19,0.0,0.0,1.0,Session Started,0.32,0
9.0,1.0,4968.07,0.0,0.0,1.0,Session Started,0.45,1
3.0,1.0,6107.35,0.0,0.0,1.0,Session Started,0.31,1
2.0,2.0,5453.05,0.0,0.0,1.0,Session Started,0.227,0
2.0,6.0,1304.42,0.0,1.0,0.0,Downgrade Clicked,0.75,1
7.0,1.0,843.01,0.0,0.0,1.0,Session Started,0.403,0
8.0,1.0,5021.98,0.0,1.0,0.0,Downgrade Clicked,0.75,1
1.0,2.0,2793.71,0.0,0.0,1.0,Session Started,0.203,0
0.0,10.0,2351.64,0.0,0.0,1.0,Session Started,0.0,0
4.0,1.0,1089.09,0.0,0.0,1.0,Session Started,0.333,0
1.0,11.0,2541.55,0.0,0.0,1.0,Session Started,0.023,0
8.0,7.0,758.83,0.0,1.0,0.0,Downgrade Clicked,0.75,1
2.0,1.0,3002.65,0.0,0.0,1.0,Session Started,0.287,0
1.0,5.0,5448.57,0.0,1.0,0.0,Downgrade Clicked,0.75,0
10.0,2.0,6666.41,0.0,0.0,1.0,Session Started,0.413,0
1.0,2.0,3186.95,0.0,0.0,1.0,Session Started,0.203,0
2.0,2.0,598.47,0.0,0.0,1.0,Session Started,0.227,1
1.0,5.0,2117.23,0.0,0.0,1.0,Session Started,0.023,0
1.0,4.0,10014.06,0.0,0.0,1.0,Session Started,0.083,0
0.0,3.0,902.45,0.0,1.0,0.0,Downgrade Clicked,0.75,1
0.0,16.0,1724.44,0.0,0.0,1.0,Session Started,0.0,0
1.0,2.0,5601.67,0.0,1.0,0.0,Downgrade Clicked,0.75,1
0.0,4.0,2962.26,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
4.0,6.0,13149.32,0.0,0.0,1.0,Session Started,0.093,0
7.0,1.0,1005.97,0.0,0.0,1.0,Session Started,0.403,1
3.0,1.0,819.09,0.0,0.0,1.0,Session Started,0.31,0
2.0,2.0,4814.08,0.0,0.0,1.0,Session Started,0.227,1
3.0,6.0,694.57,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
9.0,1.0,1544.7,0.0,1.0,0.0,Downgrade Clicked,0.75,0
8.0,2.0,1715.54,0.0,1.0,0.0,Downgrade Clicked,0.75,0
0.0,1.0,4141.41,0.0,0.0,1.0,Session Started,0.24,0
1.0,2.0,2955.47,0.0,0.0,1.0,Session Started,0.203,0
2.0,2.0,2606.21,0.0,0.0,1.0,Session Started,0.227,0
2.0,1.0,1310.36,0.0,1.0,0.0,Downgrade Clicked,0.75,1
4.0,7.0,4779.08,0.0,0.0,1.0,Session Started,0.093,0
3.0,1.0,45281.74,0.0,0.0,1.0,Session Started,0.31,0
0.0,8.0,3143.29,0.0,0.0,1.0,Session Started,0.0,0
3.0,1.0,1958.12,0.0,0.0,1.0,Session Started,0.31,0
3.0,15.0,640.15,0.0,0.0,1.0,Session Started,0.07,0
1.0,2.0,1085.74,0.0,0.0,1.0,Session Started,0.203,0
8.0,1.0,1523.91,0.0,1.0,0.0,Downgrade Clicked,0.75,0
0.0,1.0,1178.88,0.0,0.0,1.0,Session Started,0.24,1
10.0,1.0,1784.94,0.0,0.0,1.0,Session Started,0.473,0
1.0,2.0,7498.16,0.0,0.0,1.0,Session Started,0.203,0
8.0,4.0,4903.64,0.0,0.0,1.0,Session Started,0.247,1
9.0,2.0,1592.3,0.0,0.0,1.0,Session Started,0.39,0
13.0,2.0,687.72,0.0,0.0,1.0,Session Started,0.483,0
8.0,2.0,5270.57,0.0,0.0,1.0,Session Started,0.367,0
8.0,2.0,1738.46,0.0,0.0,1.0,Session Started,0.367,0
5.0,2.0,454.32,0.0,0.0,1.0,Session Started,0.297,0
8.0,2.0,3196.92,0.0,0.0,1.0,Session Started,0.367,0
1.0,3.0,4107.42,0.0,0.0,1.0,Session Started,0.143,0
4.0,16.0,259.63,0.0,0.0,1.0,Session Started,0.093,0
3.0,2.0,934.82,0.0,0.0,1.0,Session Started,0.25,0
9.0,1.0,1655.13,0.0,0.0,1.0,Session Started,0.45,1
3.0,1.0,3253.9,0.0,0.0,1.0,Session Started,0.31,0
3.0,2.0,1196.8,0.0,0.0,1.0,Session Started,0.25,0
5.0,2.0,929.17,0.0,0.0,1.0,Session Started,0.297,0
2.0,9.0,3234.84,0.0,0.0,1.0,Session Started,0.047,0
1.0,2.0,1243.07,0.0,0.0,1.0,Session Started,0.203,1
3.0,2.0,2789.57,0.0,0.0,1.0,Session Started,0.25,0
3.0,4.0,743.07,0.0,0.0,1.0,Session Started,0.13,0
2.0,1.0,612.86,0.0,0.0,1.0,Session Started,0.287,1
3.0,5.0,3308.38,0.0,0.0,1.0,Session Started,0.07,0
3.0,1.0,2212.8,0.0,0.0,1.0,Session Started,0.31,0
2.0,2.0,3781.83,0.0,0.0,1.0,Session Started,0.227,0
3.0,8.0,1180.77,0.0,0.0,1.0,Session Started,0.07,0
7.0,4.0,957.11,0.0,1.0,0.0,Downgrade Clicked,0.75,0
2.0,6.0,5369.96,0.0,0.0,1.0,Session Started,0.047,0
11.0,2.0,534.66,0.0,0.0,1.0,Session Started,0.437,0
10.0,5.0,4920.52,0.0,0.0,1.0,Session Started,0.233,1
3.0,2.0,5199.95,0.0,0.0,1.0,Session Started,0.25,0
2.0,2.0,3597.78,0.0,0.0,1.0,Session Started,0.227,0
4.0,1.0,1042.89,0.0,0.0,1.0,Session Started,0.333,1
8.0,1.0,940.85,0.0,0.0,1.0,Session Started,0.427,1
6.0,2.0,1528.37,0.0,1.0,0.0,Downgrade Clicked,0.75,0
8.0,1.0,641.6,0.0,1.0,0.0,Downgrade Clicked,0.75,1
4.0,3.0,837.69,0.0,0.0,1.0,Session Started,0.213,0
5.0,5.0,3028.39,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
2.0,8.0,3039.59,0.0,1.0,0.0,Downgrade Clicked,0.75,1
7.0,1.0,780.82,0.0,0.0,1.0,Session Started,0.403,0
1.0,9.0,3105.4,0.0,0.0,1.0,Session Started,0.023,0
7.0,1.0,2600.46,0.0,0.0,1.0,Session Started,0.403,1
9.0,2.0,6050.58,0.0,0.0,1.0,Session Started,0.39,1
1.0,5.0,2850.67,0.0,0.0,1.0,Session Started,0.023,0
5.0,1.0,4216.94,0.0,0.0,1.0,Session Started,0.357,1
1.0,1.0,2648.27,0.0,0.0,1.0,Session Started,0.263,0
7.0,1.0,3959.78,0.0,0.0,1.0,Session Started,0.403,1
0.0,2.0,645.68,0.0,0.0,1.0,Session Started,0.18,1
10.0,5.0,1640.25,0.0,0.0,1.0,Session Started,0.233,0
1.0,1.0,1752.53,0.0,1.0,0.0,Downgrade Clicked,0.75,0
11.0,1.0,1487.72,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
8.0,2.0,2578.88,0.0,0.0,1.0,Session Started,0.367,0
4.0,1.0,3003.41,0.0,0.0,1.0,Session Started,0.333,1
8.0,3.0,2474.53,0.0,1.0,0.0,Downgrade Clicked,0.75,1
8.0,9.0,1569.39,0.0,0.0,1.0,Session Started,0.187,0
11.0,3.0,1003.67,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
2.0,7.0,4349.21,0.0,0.0,1.0,Session Started,0.047,0
4.0,2.0,2391.76,0.0,0.0,1.0,Session Started,0.273,0
1.0,5.0,800.4,0.0,0.0,1.0,Session Started,0.023,1
5.0,1.0,1548.51,0.0,0.0,1.0,Session Started,0.357,0
1.0,1.0,448.25,0.0,0.0,1.0,Session Started,0.263,0
4.0,2.0,1859.93,0.0,0.0,1.0,Session Started,0.273,0
4.0,1.0,1542.71,0.0,0.0,1.0,Session Started,0.333,1
3.0,7.0,1141.87,0.0,0.0,1.0,Session Started,0.07,0
3.0,2.0,6423.25,0.0,0.0,1.0,Session Started,0.25,1
8.0,10.0,717.0,0.0,0.0,1.0,Session Started,0.187,0
8.0,1.0,3181.52,0.0,0.0,1.0,Session Started,0.427,0
3.0,2.0,10397.98,0.0,0.0,1.0,Session Started,0.25,0
4.0,3.0,4280.45,0.0,0.0,1.0,Session Started,0.213,0
10.0,1.0,1762.99,0.0,0.0,1.0,Session Started,0.473,0
1.0,2.0,729.78,0.0,0.0,1.0,Session Started,0.203,1
1.0,2.0,608.11,0.0,0.0,1.0,Session Started,0.203,1
0.0,13.0,1300.83,0.0,0.0,1.0,Session Started,0.0,0
6.0,3.0,1043.57,0.0,0.0,1.0,Session Started,0.26,0
3.0,1.0,1016.75,0.0,0.0,1.0,Session Started,0.31,0
8.0,2.0,1392.63,0.0,0.0,1.0,Session Started,0.367,1
6.0,2.0,1666.04,0.0,0.0,1.0,Session Started,0.32,0
2.0,1.0,2665.56,0.0,1.0,0.0,Downgrade Clicked,0.75,1
9.0,2.0,671.67,0.0,0.0,1.0,Session Started,0.39,0
8.0,1.0,1047.55,0.0,0.0,1.0,Session Started,0.427,0
2.0,1.0,1591.23,0.0,0.0,1.0,Session Started,0.287,0
3.0,2.0,1546.29,0.0,0.0,1.0,Session Started,0.25,1
2.0,1.0,7856.83,0.0,0.0,1.0,Session Started,0.287,0
1.0,2.0,2177.21,0.0,0.0,1.0,Session Started,0.203,0
1.0,1.0,497.27,0.0,0.0,1.0,Session Started,0.263,0
10.0,3.0,2526.39,0.0,0.0,1.0,Session Started,0.353,1
3.0,1.0,2797.64,0.0,0.0,1.0,Session Started,0.31,0
3.0,7.0,1635.82,0.0,0.0,1.0,Session Started,0.07,1
7.0,1.0,684.91,0.0,0.0,1.0,Session Started,0.403,0
