customer_id,mrr,billing_profile,tenure_months,seats,satisfacao,fit_produto,pressao_preco,saude_financeira
CLI_000041,3376.61,PJ,60,16,0.8184,0.8071,0.4029,0.7101
CLI_000042,841.06,CLT,1,5,0.7249,0.8264,0.31,0.69
CLI_000043,2361.34,CLT,42,17,0.6485,0.8301,0.1733,0.5988
CLI_000044,2067.69,freelancer,0,22,0.6123,0.6266,0.3569,0.4123
CLI_000045,2325.04,CLT,0,13,0.5378,0.6972,0.5565,0.652
CLI_000046,4925.31,PJ,43,45,0.8592,0.9906,0.2818,0.6353
CLI_000047,2338.2,freelancer,1,14,0.7012,0.5544,0.4522,0.6286
CLI_000048,3947.16,CLT,17,32,0.8865,0.9159,0.517,0.5162
CLI_000049,1954.16,PJ,11,8,0.7996,0.777,0.3422,0.6386
CLI_000050,2521.19,CLT,5,18,0.7209,0.6535,0.5338,0.6208
CLI_000051,3736.79,CLT,53,43,0.8364,0.9017,0.2999,0.8289
CLI_000052,338.41,PJ,64,2,0.8608,0.8541,0.2599,0.4891
CLI_000053,1251.85,PJ,2,24,0.6448,0.5105,0.3415,0.8193
CLI_000054,1052.66,freelancer,0,10,0.89,0.853,0.3492,0.496
CLI_000055,867.22,freelancer,7,7,0.5311,0.2176,0.2063,0.6246
CLI_000056,1317.63,CLT,0,8,0.8541,0.6401,0.3446,0.6903
CLI_000057,10088.81,CLT,0,115,0.8042,0.8744,0.3471,0.6881
CLI_000058,668.0,CLT,0,3,0.6928,0.8142,0.0493,0.6673
CLI_000059,5505.59,PJ,3,49,0.4911,0.5616,0.5173,0.7031
CLI_000060,261.05,CLT,37,3,0.6527,0.5256,0.1822,0.7565
CLI_000061,1230.14,CLT,0,9,0.6834,0.5081,0.398,0.7606
CLI_000062,2180.19,CLT,2,36,0.451,0.5003,0.3037,0.7592
CLI_000063,3548.06,PJ,2,52,0.779,0.7552,0.5152,0.4457
CLI_000064,4096.59,CLT,15,27,0.5947,0.6448,0.5209,0.8052
CLI_000065,4502.33,CLT,3,38,0.4769,0.5272,0.6125,0.595
CLI_000066,1210.71,CLT,70,15,0.8427,0.7687,0.3263,0.9525
CLI_000067,1062.41,CLT,2,6,0.7139,0.8122,0.3278,0.6749
CLI_000068,4849.7,CLT,28,26,0.6968,0.8585,0.5931,0.6827
CLI_000069,1450.99,PJ,6,8,0.2993,0.3777,0.4115,0.5678
CLI_000070,416.95,CLT,2,3,0.3123,0.4043,0.5981,0.8521
CLI_000071,491.14,freelancer,17,2,0.7998,0.8027,0.4756,0.2997
CLI_000072,628.06,freelancer,3,8,0.718,0.7483,0.3067,0.5183
CLI_000073,3202.65,PJ,13,25,0.8788,0.8122,0.3131,0.7354
CLI_000074,2129.81,CLT,26,16,0.5836,0.5969,0.5329,0.775
CLI_000075,4000.03,CLT,7,39,0.8867,0.7898,0.6582,0.9119
CLI_000076,1106.17,CLT,5,8,0.7713,0.6307,0.3674,0.6962
CLI_000077,2169.65,PJ,2,16,0.7331,0.6433,0.6365,0.4972
CLI_000078,3712.38,CLT,16,27,0.7222,0.9541,0.5568,0.693
CLI_000079,1266.8,CLT,8,9,0.7198,0.8603,0.214,0.601
CLI_000080,3057.31,CLT,3,23,0.3841,0.495,0.5588,0.66
CLI_000081,844.53,PJ,29,4,0.6351,0.6132,0.3717,0.6953
CLI_000082,1190.93,CLT,7,10,0.5632,0.5406,0.3966,0.6711
CLI_000083,1165.61,PJ,61,7,0.642,0.8505,0.351,0.5108
CLI_000084,457.05,CLT,20,4,0.8133,0.9534,0.1949,0.5728
CLI_000085,3165.35,CLT,1,32,0.6123,0.5377,0.3389,0.8972
CLI_000086,1053.83,freelancer,55,7,0.8103,0.7654,0.2462,0.4295
CLI_000087,1834.21,CLT,9,17,0.7287,0.6506,0.6321,0.7719
CLI_000088,3142.77,PJ,12,39,0.7717,0.9148,0.4103,0.5728
CLI_000089,3021.51,PJ,7,20,0.7421,0.5374,0.6293,0.552
CLI_000090,3886.22,PJ,3,29,0.8356,0.8544,0.402,0.5266
CLI_000091,1614.44,CLT,35,10,0.6661,0.5913,0.3001,0.8067
CLI_000092,1111.21,CLT,1,13,0.6244,0.4206,0.1652,0.7196
CLI_000093,1649.66,freelancer,31,24,0.9091,0.9359,0.2468,0.4261
CLI_000094,259.71,freelancer,0,1,0.9,0.8558,0.2372,0.468
CLI_000095,342.35,freelancer,4,4,0.7039,0.6549,0.3136,0.5323
CLI_000096,395.0,CLT,11,5,0.622,0.8818,0.2737,0.7485
CLI_000097,574.31,CLT,9,5,0.857,0.7716,0.3452,0.7102
CLI_000098,2863.33,PJ,12,26,0.7144,0.8406,0.6491,0.6584
CLI_000099,638.23,CLT,8,4,0.5156,0.5621,0.0998,0.9097
CLI_000100,1170.41,freelancer,41,9,0.6263,0.749,0.3267,0.4311
CLI_000101,8055.52,freelancer,69,59,0.8017,0.7264,0.5404,0.4671
CLI_000102,1200.26,CLT,16,8,0.6615,0.8841,0.3615,0.717
CLI_000103,4222.33,PJ,0,56,0.8375,0.8782,0.7475,0.714
CLI_000104,617.91,CLT,37,4,0.3784,0.5787,0.2956,0.9177
CLI_000105,1427.6,PJ,59,14,0.7272,0.8431,0.3053,0.7285
CLI_000106,606.36,PJ,1,5,0.5829,0.6177,0.1939,0.7651
CLI_000107,1224.28,CLT,5,14,0.7938,0.8838,0.3044,0.8288
CLI_000108,4752.16,PJ,36,36,0.742,0.9599,0.7099,0.589
CLI_000109,248.04,CLT,42,1,0.5246,0.5114,0.0994,0.5904
CLI_000110,2979.73,CLT,34,25,0.8982,0.8096,0.7428,0.6821
CLI_000111,2376.53,CLT,0,22,0.7302,0.7157,0.6181,0.7094
CLI_000112,912.99,CLT,3,5,0.7694,0.6436,0.4256,0.8732
CLI_000113,342.76,CLT,5,3,0.4638,0.4777,0.2671,0.8615
CLI_000114,1964.41,CLT,6,17,0.7547,0.8381,0.4587,0.6082
CLI_000115,983.47,CLT,34,11,0.6352,0.8758,0.194,0.7343
CLI_000116,2362.74,freelancer,2,17,0.6348,0.7415,0.3035,0.3794
CLI_000117,1854.05,freelancer,0,19,0.7305,0.5704,0.5179,0.3905
CLI_000118,11407.72,PJ,2,161,0.8168,0.6892,0.5479,0.7228
CLI_000119,1372.98,PJ,10,9,0.6495,0.5469,0.4557,0.7269
CLI_000120,557.23,PJ,1,3,0.7155,0.8257,0.1484,0.7566
CLI_000121,2222.01,freelancer,51,11,0.7512,0.8468,0.5289,0.417
CLI_000122,2328.54,PJ,15,20,0.6272,0.5901,0.3246,0.4793
CLI_000123,8630.57,PJ,8,29,0.4722,0.761,0.6267,0.4554
CLI_000124,4723.84,PJ,9,67,0.9098,0.9247,0.5256,0.4498
CLI_000125,2725.49,CLT,13,20,0.7314,0.4827,0.3908,0.8419
CLI_000126,9728.34,PJ,0,189,0.4978,0.4705,0.4713,0.4746
CLI_000127,460.78,freelancer,12,4,0.7699,0.7983,0.3834,0.4263
CLI_000128,866.35,CLT,1,10,0.9747,0.9284,0.2504,0.7268
CLI_000129,622.93,freelancer,2,4,0.4534,0.5393,0.1298,0.7367
CLI_000130,1154.84,PJ,34,11,0.8004,0.7171,0.2885,0.4856
CLI_000131,371.23,CLT,37,5,0.6712,0.7217,0.0983,0.8976
CLI_000132,3753.42,CLT,52,38,0.4205,0.6592,0.4222,0.6635
CLI_000133,1400.3,freelancer,5,7,0.7079,0.7185,0.4502,0.4908
CLI_000134,333.14,CLT,1,2,0.6329,0.8569,0.2072,0.627
CLI_000135,562.33,PJ,0,7,0.6284,0.6787,0.0681,0.6728
CLI_000136,2592.92,PJ,18,22,0.595,0.7833,0.3107,0.4665
CLI_000137,4740.25,CLT,56,31,0.7838,0.8568,0.4772,0.7573
CLI_000138,17966.07,CLT,46,83,0.6752,0.7398,0.6305,0.7239
CLI_000139,51582.71,PJ,4,331,0.8567,0.7512,0.7122,0.7205
CLI_000140,2911.93,PJ,69,13,0.5604,0.474,0.6022,0.667
CLI_000141,579.42,CLT,62,3,0.8662,0.8855,0.296,0.6714
CLI_000142,200.0,CLT,71,3,0.802,0.8055,0.2053,0.5496
CLI_000143,2459.88,freelancer,2,25,0.5335,0.3252,0.3808,0.519
CLI_000144,709.9,CLT,1,7,0.6528,0.7238,0.1446,0.6786
CLI_000145,1121.41,freelancer,2,10,0.6855,0.6762,0.3714,0.408
CLI_000146,894.34,PJ,1,5,0.7802,0.8572,0.0854,0.6445
CLI_000147,1537.77,CLT,18,13,0.6279,0.6988,0.4926,0.7424
CLI_000148,6160.28,PJ,35,62,0.6691,0.5751,0.4791,0.7277
CLI_000149,2165.93,PJ,20,18,0.6117,0.8083,0.3211,0.8079
CLI_000150,1506.54,CLT,45,11,0.618,0.8259,0.42,0.9189
CLI_000151,549.49,PJ,6,8,0.596,0.4085,0.1615,0.6196
CLI_000152,263.52,CLT,3,2,0.5146,0.6723,0.2937,0.8818
CLI_000153,1033.54,CLT,44,9,0.7495,0.5588,0.4047,0.8662
CLI_000154,1699.6,freelancer,3,8,0.4241,0.6117,0.4054,0.4115
CLI_000155,13809.6,CLT,10,158,0.4285,0.5498,0.4232,0.7184
CLI_000156,2100.26,PJ,12,17,0.665,0.5362,0.4851,0.7624
CLI_000157,5597.92,CLT,36,24,0.8374,0.9489,0.419,0.7017
CLI_000158,1018.22,CLT,0,14,0.7212,0.7497,0.2164,0.7611
CLI_000159,462.81,CLT,14,4,0.7018,0.7661,0.1723,0.7922
CLI_000160,595.93,PJ,6,4,0.7373,0.5951,0.4705,0.6189
CLI_000161,785.24,PJ,12,6,0.544,0.6601,0.14,0.7466
CLI_000162,20904.93,freelancer,6,156,0.4033,0.6541,0.7007,0.6817
CLI_000163,703.03,freelancer,3,4,0.8142,0.9029,0.315,0.5616
CLI_000164,4742.23,CLT,12,40,0.7818,0.8562,0.4369,0.9157
CLI_000165,640.11,PJ,10,3,0.5701,0.5252,0.1161,0.5849
CLI_000166,5278.03,CLT,66,75,0.6953,0.616,0.6973,0.7983
CLI_000167,2814.93,PJ,2,29,0.5767,0.7072,0.3823,0.5374
CLI_000168,1510.0,PJ,20,18,0.8208,0.7267,0.3034,0.6241
CLI_000169,1725.24,CLT,66,8,0.8502,0.7882,0.6602,0.6003
CLI_000170,851.5,CLT,0,5,0.7603,0.7896,0.467,0.5936
CLI_000171,3019.91,freelancer,4,17,0.6925,0.5931,0.5119,0.5603
CLI_000172,1071.45,CLT,15,15,0.9056,0.8567,0.4442,0.7369
CLI_000173,441.67,CLT,4,3,0.8082,0.8875,0.2344,0.769
CLI_000174,415.87,PJ,2,2,0.7152,0.7097,0.1226,0.75
CLI_000175,2204.99,PJ,3,12,0.726,0.7166,0.4202,0.6396
CLI_000176,11113.93,CLT,2,102,0.6332,0.5309,0.7767,0.7079
CLI_000177,2173.27,freelancer,43,29,0.6924,0.4708,0.6435,0.3394
CLI_000178,1577.45,PJ,53,13,0.8161,0.6968,0.315,0.6152
CLI_000179,2511.66,CLT,15,36,0.8904,0.8989,0.5815,0.716
CLI_000180,8118.51,freelancer,0,62,0.6422,0.6995,0.4819,0.4488
CLI_000181,2326.89,freelancer,68,37,0.9387,0.979,0.4943,0.4335
CLI_000182,1127.13,CLT,15,18,0.769,0.874,0.5253,0.6313
CLI_000183,6452.56,PJ,3,31,0.7892,0.6511,0.3969,0.5287
CLI_000184,2960.37,CLT,44,35,0.9579,0.9584,0.3014,0.7266
CLI_000185,10573.64,CLT,8,116,0.7249,0.6336,0.4089,0.6084
CLI_000186,2232.15,CLT,7,16,0.755,0.9597,0.406,0.8869
CLI_000187,442.24,freelancer,5,3,0.808,0.6085,0.0952,0.3889
CLI_000188,374.88,CLT,0,3,0.7447,0.7347,0.2743,0.5398
CLI_000189,12071.07,CLT,0,62,0.6458,0.8679,0.5542,0.8318
CLI_000190,13124.23,PJ,3,94,0.8811,0.9123,0.6398,0.5576
CLI_000191,1470.79,CLT,9,26,0.6217,0.5638,0.3078,0.646
CLI_000192,1163.67,CLT,24,9,0.6447,0.6542,0.4039,0.9069
CLI_000193,9707.57,freelancer,6,96,0.5025,0.759,0.693,0.2865
CLI_000194,506.18,PJ,8,8,0.7129,0.8549,0.1622,0.8818
CLI_000195,646.17,CLT,13,3,0.6297,0.7729,0.0249,0.7468
CLI_000196,3788.88,freelancer,18,32,0.6735,0.7123,0.3241,0.4939
CLI_000197,1148.49,CLT,18,9,0.6009,0.6594,0.3871,0.6743
CLI_000198,1797.42,CLT,26,20,0.8644,0.8493,0.5869,0.7914
CLI_000199,1498.23,PJ,0,15,0.6717,0.6933,0.4298,0.6683
CLI_000200,2665.67,PJ,2,13,0.709,0.979,0.61,0.4856
CLI_000201,9123.46,freelancer,66,55,0.7015,0.716,0.7131,0.4097
CLI_000202,2006.55,CLT,21,16,0.6048,0.7529,0.2312,0.7468
CLI_000203,3791.55,CLT,15,20,0.8511,0.82,0.5572,0.919
CLI_000204,200.0,PJ,4,3,0.9045,0.9238,0.3945,0.6881
CLI_000205,1709.53,CLT,23,16,0.7612,0.7786,0.4571,0.7863
CLI_000206,685.59,PJ,7,8,0.819,0.7868,0.348,0.5399
CLI_000207,445.13,CLT,1,3,0.7385,0.669,0.4062,0.763
CLI_000208,658.61,CLT,2,7,0.6565,0.6221,0.2034,0.8639
CLI_000209,1231.22,CLT,9,10,0.5983,0.6833,0.2176,0.6906
CLI_000210,5183.77,CLT,0,27,0.5814,0.7647,0.6936,0.6535
CLI_000211,393.33,CLT,1,2,0.6583,0.6454,0.3561,0.9926
CLI_000212,1872.87,PJ,0,18,0.7938,0.6765,0.3788,0.6282
CLI_000213,1036.09,freelancer,45,4,0.5358,0.8019,0.5298,0.6669
CLI_000214,1240.38,CLT,1,9,0.4493,0.6979,0.2437,0.7719
CLI_000215,5728.29,CLT,7,86,0.5904,0.54,0.3796,0.6633
CLI_000216,3357.1,PJ,4,27,0.7852,0.904,0.4205,0.821
CLI_000217,8416.99,PJ,8,67,0.6687,0.6366,0.435,0.5154
CLI_000218,1513.71,freelancer,3,12,0.7099,0.8654,0.3736,0.391
CLI_000219,812.13,PJ,4,5,0.5439,0.4249,0.1358,0.636
CLI_000220,1397.67,freelancer,1,14,0.9045,0.7563,0.2016,0.4309
CLI_000221,2389.58,PJ,23,12,0.7028,0.7213,0.472,0.7427
CLI_000222,2215.11,CLT,24,9,0.7225,0.9195,0.1427,0.8534
CLI_000223,519.55,CLT,2,3,0.6395,0.5422,0.4044,0.8444
CLI_000224,2006.33,PJ,15,12,0.6294,0.5378,0.3462,0.4307
CLI_000225,2350.69,freelancer,7,26,0.7644,0.7487,0.2858,0.5656
CLI_000226,32698.85,PJ,21,255,0.8745,0.7934,0.6452,0.7243
CLI_000227,15652.27,CLT,39,124,0.7424,0.8382,0.5288,0.7442
CLI_000228,677.74,CLT,46,9,0.6275,0.5743,0.478,0.5902
CLI_000229,1299.21,CLT,14,12,0.6584,0.7287,0.4144,0.7051
CLI_000230,335.98,CLT,12,2,0.7252,0.793,0.4217,0.7135
CLI_000231,916.61,freelancer,37,6,0.6874,0.631,0.3403,0.3733
CLI_000232,2599.17,freelancer,15,31,0.6508,0.7316,0.7813,0.5584
CLI_000233,7235.33,CLT,64,56,0.82,0.7783,0.5813,0.7621
CLI_000234,781.76,CLT,22,8,0.8695,0.8122,0.2511,0.847
CLI_000235,852.12,CLT,68,6,0.4657,0.6268,0.3006,0.687
CLI_000236,200.0,CLT,56,2,0.7495,0.7631,0.211,0.6237
CLI_000237,1499.57,PJ,1,21,0.66,0.629,0.4189,0.5909
CLI_000238,532.84,CLT,2,5,0.8118,0.8978,0.3695,0.5966
CLI_000239,983.53,freelancer,9,8,0.5803,0.3837,0.0,0.5608
CLI_000240,659.58,CLT,19,14,0.595,0.5597,0.3336,0.7409
CLI_000241,1622.3,CLT,55,14,0.5349,0.634,0.4855,0.6593
CLI_000242,239.51,PJ,2,2,0.743,0.6959,0.4155,0.7291
CLI_000243,334.59,CLT,56,2,0.7623,0.805,0.5202,0.7699
CLI_000244,20923.62,PJ,8,194,1.0,0.936,0.621,0.6265
CLI_000245,411.36,CLT,2,4,0.4997,0.4681,0.1899,0.8208
CLI_000246,512.19,PJ,56,4,0.9268,0.8835,0.346,0.7313
CLI_000247,14949.76,CLT,42,95,0.4254,0.6938,0.4681,0.7216
CLI_000248,51063.6,freelancer,41,401,0.5274,0.6121,0.5085,0.4407
CLI_000249,469.98,CLT,48,2,0.6313,0.9218,0.2155,0.7678
CLI_000250,1183.83,CLT,0,13,0.7681,0.9647,0.1542,0.812
CLI_000251,2677.9,CLT,6,25,0.625,0.6848,0.535,0.6387
CLI_000252,13200.4,CLT,9,138,0.7729,0.7804,0.6396,0.8329
CLI_000253,581.21,CLT,11,6,0.5767,0.867,0.5379,0.7611
CLI_000254,1363.66,freelancer,1,13,0.7374,0.8536,0.3858,0.5556
CLI_000255,4420.19,PJ,41,50,0.726,0.695,0.6119,0.5727
CLI_000256,2980.9,freelancer,33,17,0.7473,0.6545,0.5627,0.6765
CLI_000257,1173.12,CLT,0,12,0.8011,0.6374,0.1216,0.7955
CLI_000258,1550.14,PJ,64,10,0.7263,0.6537,0.1967,0.7036
CLI_000259,371.99,CLT,4,4,0.426,0.6158,0.2095,0.5724
CLI_000260,1374.85,CLT,57,13,0.8452,0.8335,0.368,0.9454
CLI_000261,1330.96,freelancer,61,10,0.766,0.6482,0.3437,0.525
CLI_000262,2361.37,freelancer,52,15,0.7112,0.9231,0.2477,0.5826
CLI_000263,954.68,PJ,0,5,0.8521,0.8269,0.1685,0.688
CLI_000264,3109.66,CLT,5,16,0.3743,0.6947,0.4999,0.7779
CLI_000265,5794.26,freelancer,42,34,0.7414,0.6324,0.3796,0.5246
CLI_000266,2161.9,PJ,70,21,0.4817,0.2047,0.3382,0.588
CLI_000267,2709.5,CLT,43,24,0.6222,0.5845,0.5597,0.5854
CLI_000268,1922.01,CLT,3,19,0.6946,0.354,0.2554,0.9287
CLI_000269,1808.22,CLT,45,19,0.8146,0.8323,0.3998,0.675
CLI_000270,788.56,freelancer,2,9,0.6198,0.5197,0.1225,0.6045
CLI_000271,2601.83,CLT,2,39,0.9072,0.836,0.8093,0.6312
CLI_000272,1616.66,CLT,3,14,0.5233,0.6634,0.3054,0.8543
CLI_000273,20073.25,CLT,5,280,0.6404,0.6514,0.5617,0.7193
CLI_000274,11040.86,freelancer,15,65,0.5337,0.4585,0.6742,0.512
CLI_000275,2817.83,CLT,3,24,0.6477,0.6227,0.4445,0.8952
CLI_000276,751.81,CLT,55,5,0.708,0.4782,0.1909,0.7725
CLI_000277,503.07,CLT,2,6,0.8474,0.9386,0.4625,0.6749
CLI_000278,7113.96,CLT,37,67,0.6639,0.5413,0.5473,0.9832
CLI_000279,2445.88,freelancer,20,24,0.6704,0.593,0.3451,0.4123
CLI_000280,3140.59,freelancer,2,29,0.5442,0.5835,0.6611,0.5146
CLI_000281,243.16,CLT,3,2,0.5996,0.6161,0.172,0.7525
CLI_000282,5253.0,PJ,3,32,0.7373,0.9211,0.4938,0.6051
CLI_000283,3049.04,CLT,1,21,0.7268,0.7188,0.5223,0.8387
CLI_000284,504.22,freelancer,17,5,0.6559,0.7435,0.1941,0.46
CLI_000285,1051.26,CLT,43,7,0.5994,0.4256,0.4225,0.7328
CLI_000286,2448.61,freelancer,0,25,0.7307,0.7634,0.4274,0.5542
CLI_000287,1920.49,CLT,0,13,0.7925,0.9612,0.2746,0.5849
CLI_000288,1292.07,CLT,1,7,0.7001,0.8774,0.3715,0.716
CLI_000289,1605.18,CLT,0,27,0.6206,0.6122,0.3584,0.6941
CLI_000290,1353.2,CLT,55,12,0.7708,0.8942,0.2698,0.5932
CLI_000291,2154.79,CLT,27,14,0.7412,0.742,0.7042,0.6387
CLI_000292,9820.39,CLT,24,76,0.7588,0.8031,0.4217,0.7789
CLI_000293,200.0,CLT,37,2,0.7778,0.6354,0.022,0.6696
CLI_000294,1376.94,freelancer,45,14,0.8207,0.8429,0.3065,0.4144
CLI_000295,2214.96,CLT,28,39,0.8223,0.6663,0.5806,0.9167
CLI_000296,2541.2,CLT,16,28,0.624,0.4526,0.6331,0.6125
CLI_000297,1178.85,PJ,45,13,0.696,0.7548,0.3298,0.602
CLI_000298,239.79,PJ,29,2,0.5918,0.9017,0.1862,0.5318
CLI_000299,2636.47,freelancer,3,34,0.7748,0.7763,0.5965,0.3589
CLI_000300,13179.96,freelancer,1,62,0.8025,0.704,0.4479,0.57
CLI_000301,309.84,freelancer,6,1,0.4273,0.473,0.3365,0.4582
CLI_000302,4882.45,PJ,12,47,0.5055,0.6378,0.4144,0.5918
CLI_000303,1239.17,freelancer,6,22,0.7594,0.6371,0.3332,0.7257
CLI_000304,1684.93,PJ,3,18,0.7759,0.9128,0.3096,0.5925
CLI_000305,538.7,PJ,5,7,0.6212,0.6705,0.237,0.6094
CLI_000306,1230.75,CLT,0,18,0.4702,0.7033,0.394,0.839
CLI_000307,8063.08,CLT,9,59,0.6295,0.8202,0.7221,0.6693
CLI_000308,3533.53,PJ,57,38,0.7856,0.7268,0.5358,0.6355
CLI_000309,13255.37,CLT,7,218,0.5824,0.5058,0.5464,0.6251
CLI_000310,7002.51,freelancer,4,48,0.4523,0.4979,0.6403,0.5707
CLI_000311,2995.75,freelancer,45,25,0.7664,0.8849,0.5294,0.4412
CLI_000312,13433.74,CLT,0,96,0.8074,0.9436,0.4988,0.6113
CLI_000313,2995.43,PJ,12,20,0.7326,0.8335,0.5426,0.5387
CLI_000314,4685.31,CLT,21,76,0.566,0.3751,0.5465,0.7048
CLI_000315,1285.55,PJ,56,10,0.5672,0.4816,0.2192,0.7722
CLI_000316,1951.84,CLT,4,21,0.6379,0.4747,0.5921,0.6892
CLI_000317,810.75,PJ,59,6,0.6995,0.5696,0.1828,0.774
CLI_000318,5642.16,freelancer,2,77,0.9017,0.9492,0.4247,0.4443
CLI_000319,466.36,CLT,2,3,0.7228,0.8791,0.3535,0.5768
CLI_000320,4445.75,CLT,7,46,0.6461,0.5895,0.3033,0.6782
CLI_000321,1452.08,CLT,46,7,0.7477,0.7596,0.5442,0.7852
CLI_000322,6953.04,PJ,19,37,0.5427,0.3399,0.4961,0.7877
CLI_000323,4287.67,PJ,64,33,0.5933,0.4609,0.6095,0.7606
CLI_000324,14672.69,CLT,57,144,0.8133,0.7217,0.7193,0.9239
CLI_000325,4189.73,PJ,50,66,0.7379,0.7677,0.498,0.7613
CLI_000326,296.53,PJ,23,2,0.5811,0.6655,0.1846,0.5943
CLI_000327,1674.05,PJ,14,12,0.7305,0.5683,0.2445,0.559
CLI_000328,469.75,PJ,8,3,0.657,0.6845,0.2508,0.5702
CLI_000329,996.23,freelancer,2,9,0.7098,0.763,0.1864,0.3723
CLI_000330,10279.56,freelancer,1,57,0.7559,0.8111,0.371,0.4555
CLI_000331,3763.72,CLT,10,52,0.6469,0.8056,0.5454,0.8209
CLI_000332,809.35,CLT,39,6,0.7727,0.7896,0.4301,0.6756
CLI_000333,563.53,CLT,3,7,0.8234,0.8122,0.0,0.6342
CLI_000334,1877.51,freelancer,41,12,0.6421,0.5461,0.4619,0.5713
CLI_000335,446.28,PJ,0,3,0.8376,0.6502,0.1953,0.5938
CLI_000336,835.63,freelancer,4,9,0.9352,0.8503,0.1201,0.5729
CLI_000337,2588.44,CLT,4,25,0.6476,0.6979,0.2729,0.6895
CLI_000338,6826.78,CLT,67,54,0.6756,0.9623,0.574,0.7686
CLI_000339,3641.23,freelancer,1,16,0.8344,0.769,0.5058,0.5536
CLI_000340,200.0,PJ,66,2,0.7973,0.6562,0.0918,0.5266
CLI_000341,2565.79,PJ,13,20,0.7025,0.5922,0.5216,0.6392
CLI_000342,1964.2,freelancer,6,27,0.8723,0.6978,0.6445,0.3196
CLI_000343,2910.19,CLT,5,30,0.5226,0.6562,0.4401,0.7869
CLI_000344,11598.62,CLT,43,83,0.8061,0.7665,0.4679,0.7202
CLI_000345,200.0,freelancer,5,1,0.7299,0.7591,0.2239,0.5307
CLI_000346,916.2,PJ,29,5,0.7105,0.9304,0.3872,0.449
CLI_000347,3567.22,CLT,11,22,0.8068,0.7754,0.729,0.7533
CLI_000348,293.29,CLT,2,4,0.6544,0.9066,0.0215,0.8124
CLI_000349,9870.85,PJ,6,92,0.6723,0.7671,0.5972,0.5737
CLI_000350,2761.72,PJ,7,22,0.7589,0.7735,0.3089,0.732
CLI_000351,4786.58,CLT,64,88,0.5908,0.589,0.692,0.6073
