customer_id,days_since_last,features_used_30d,mrr,evento_cancelamento,evento_downgrade,evento_sessao,event,risk_regra,churn
CLI_053575,4.0,7.0,262.13,0.0,0.0,1.0,Session Started,0.093,0
CLI_075885,8.0,12.0,886.21,0.0,0.0,1.0,Session Started,0.187,0
CLI_075885,4.0,10.0,886.21,0.0,0.0,1.0,Session Started,0.093,0
CLI_075885,5.0,9.0,886.21,0.0,0.0,1.0,Session Started,0.117,0
CLI_075885,8.0,10.0,886.21,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_020524,5.0,8.0,2563.1,0.0,0.0,1.0,Session Started,0.117,0
CLI_020524,2.0,9.0,2563.1,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_020524,2.0,12.0,2563.1,0.0,0.0,1.0,Session Started,0.047,0
CLI_020524,4.0,10.0,2563.1,0.0,0.0,1.0,Session Started,0.093,0
CLI_020524,3.0,7.0,2563.1,0.0,0.0,1.0,Session Started,0.07,0
CLI_062594,3.0,11.0,2238.22,1.0,0.0,0.0,Cancellation Page Viewed,0.9,0
CLI_062594,0.0,12.0,2238.22,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_080496,9.0,6.0,10584.62,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_080496,12.0,10.0,10584.62,0.0,0.0,1.0,Session Started,0.28,1
CLI_010239,6.0,8.0,4274.76,0.0,0.0,1.0,Session Started,0.14,0
CLI_010239,6.0,5.0,4274.76,0.0,0.0,1.0,Session Started,0.14,0
CLI_010239,11.0,8.0,4274.76,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_115283,5.0,11.0,1246.98,0.0,0.0,1.0,Session Started,0.117,0
CLI_007246,3.0,9.0,399.69,0.0,0.0,1.0,Session Started,0.07,0
CLI_007246,2.0,11.0,399.69,0.0,0.0,1.0,Session Started,0.047,0
CLI_007246,2.0,11.0,399.69,0.0,0.0,1.0,Session Started,0.047,0
CLI_091785,5.0,12.0,3101.19,0.0,0.0,1.0,Session Started,0.117,0
CLI_091785,5.0,9.0,3101.19,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_091785,6.0,12.0,3101.19,0.0,0.0,1.0,Session Started,0.14,0
CLI_091785,3.0,12.0,3101.19,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_091785,6.0,10.0,3101.19,0.0,0.0,1.0,Session Started,0.14,0
CLI_091785,7.0,9.0,3101.19,0.0,0.0,1.0,Session Started,0.163,0
CLI_091732,8.0,11.0,4338.79,0.0,0.0,1.0,Session Started,0.187,0
CLI_091732,5.0,7.0,4338.79,0.0,0.0,1.0,Session Started,0.117,0
CLI_114051,2.0,9.0,926.49,0.0,0.0,1.0,Session Started,0.047,0
CLI_114051,1.0,9.0,926.49,0.0,0.0,1.0,Session Started,0.023,0
CLI_114051,0.0,11.0,926.49,0.0,0.0,1.0,Session Started,0.0,0
CLI_114051,2.0,9.0,926.49,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_114051,3.0,10.0,926.49,0.0,0.0,1.0,Session Started,0.07,0
CLI_049450,2.0,7.0,2835.0,0.0,0.0,1.0,Session Started,0.047,0
CLI_049450,1.0,10.0,2835.0,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_041182,9.0,9.0,728.44,0.0,0.0,1.0,Session Started,0.21,0
CLI_041182,8.0,12.0,728.44,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_079308,20.0,12.0,2515.81,0.0,0.0,1.0,Session Started,0.467,0
CLI_079308,20.0,12.0,2515.81,0.0,0.0,1.0,Session Started,0.467,1
CLI_079308,22.0,10.0,2515.81,0.0,0.0,1.0,Session Started,0.513,0
CLI_067470,2.0,6.0,526.82,0.0,0.0,1.0,Session Started,0.047,0
CLI_067470,0.0,6.0,526.82,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_067470,2.0,5.0,526.82,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_067470,0.0,7.0,526.82,0.0,0.0,1.0,Session Started,0.0,0
CLI_046956,7.0,9.0,452.26,0.0,0.0,1.0,Session Started,0.163,1
CLI_046956,5.0,9.0,452.26,0.0,0.0,1.0,Session Started,0.117,0
CLI_029166,8.0,7.0,6954.7,0.0,0.0,1.0,Session Started,0.187,0
CLI_029166,8.0,10.0,6954.7,0.0,0.0,1.0,Session Started,0.187,1
CLI_029166,4.0,10.0,6954.7,1.0,0.0,0.0,Cancellation Page Viewed,0.9,0
CLI_008872,0.0,3.0,208.84,0.0,0.0,1.0,Session Started,0.12,0
CLI_008872,1.0,2.0,208.84,0.0,0.0,1.0,Session Started,0.203,0
CLI_008872,2.0,1.0,208.84,0.0,0.0,1.0,Session Started,0.287,0
CLI_008872,3.0,2.0,208.84,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_008872,0.0,3.0,208.84,0.0,0.0,1.0,Session Started,0.12,0
CLI_075741,0.0,9.0,1496.92,0.0,0.0,1.0,Session Started,0.0,0
CLI_075741,3.0,9.0,1496.92,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_075741,0.0,7.0,1496.92,0.0,0.0,1.0,Session Started,0.0,0
CLI_117518,4.0,10.0,4667.09,0.0,0.0,1.0,Session Started,0.093,1
CLI_117518,4.0,10.0,4667.09,0.0,0.0,1.0,Session Started,0.093,1
CLI_050069,14.0,2.0,715.52,0.0,0.0,1.0,Session Started,0.507,1
CLI_050069,19.0,2.0,715.52,0.0,0.0,1.0,Session Started,0.623,1
CLI_050069,14.0,2.0,715.52,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_050069,19.0,1.0,715.52,0.0,0.0,1.0,Session Started,0.683,1
CLI_087135,0.0,5.0,711.33,0.0,0.0,1.0,Session Started,0.0,0
CLI_087135,0.0,7.0,711.33,0.0,0.0,1.0,Session Started,0.0,0
CLI_087135,0.0,8.0,711.33,0.0,0.0,1.0,Session Started,0.0,0
CLI_056986,8.0,7.0,1759.89,0.0,0.0,1.0,Session Started,0.187,0
CLI_056986,3.0,10.0,1759.89,0.0,0.0,1.0,Session Started,0.07,0
CLI_111978,3.0,12.0,1052.01,0.0,0.0,1.0,Session Started,0.07,0
CLI_111978,3.0,12.0,1052.01,0.0,0.0,1.0,Session Started,0.07,0
CLI_111978,3.0,12.0,1052.01,0.0,0.0,1.0,Session Started,0.07,0
CLI_013065,20.0,4.0,1369.76,0.0,0.0,1.0,Session Started,0.527,1
CLI_013065,19.0,4.0,1369.76,0.0,0.0,1.0,Session Started,0.503,0
CLI_013065,17.0,2.0,1369.76,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_065653,30.0,2.0,15067.6,0.0,0.0,1.0,Session Started,0.88,1
CLI_065653,30.0,2.0,15067.6,0.0,0.0,1.0,Session Started,0.88,1
CLI_089257,2.0,8.0,200.0,0.0,0.0,1.0,Session Started,0.047,1
CLI_089257,4.0,11.0,200.0,0.0,0.0,1.0,Session Started,0.093,0
CLI_089257,4.0,9.0,200.0,0.0,0.0,1.0,Session Started,0.093,0
CLI_089257,7.0,8.0,200.0,0.0,0.0,1.0,Session Started,0.163,1
CLI_089257,4.0,9.0,200.0,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_088891,0.0,9.0,10051.0,0.0,0.0,1.0,Session Started,0.0,0
CLI_088891,0.0,10.0,10051.0,0.0,0.0,1.0,Session Started,0.0,0
CLI_088891,3.0,10.0,10051.0,0.0,0.0,1.0,Session Started,0.07,0
CLI_099974,3.0,7.0,1712.88,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_099974,3.0,4.0,1712.88,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_099974,2.0,6.0,1712.88,0.0,0.0,1.0,Session Started,0.047,0
CLI_099974,0.0,6.0,1712.88,0.0,0.0,1.0,Session Started,0.0,0
CLI_099974,1.0,6.0,1712.88,0.0,0.0,1.0,Session Started,0.023,0
CLI_070381,9.0,3.0,4545.54,0.0,0.0,1.0,Session Started,0.33,0
CLI_070381,13.0,3.0,4545.54,0.0,0.0,1.0,Session Started,0.423,0
CLI_086873,2.0,9.0,100000.0,0.0,0.0,1.0,Session Started,0.047,0
CLI_086873,5.0,10.0,100000.0,0.0,0.0,1.0,Session Started,0.117,0
CLI_086873,2.0,9.0,100000.0,0.0,0.0,1.0,Session Started,0.047,0
CLI_086873,2.0,12.0,100000.0,0.0,0.0,1.0,Session Started,0.047,0
CLI_086873,6.0,11.0,100000.0,0.0,0.0,1.0,Session Started,0.14,0
CLI_040625,0.0,11.0,1687.2,0.0,0.0,1.0,Session Started,0.0,0
CLI_040625,2.0,12.0,1687.2,0.0,0.0,1.0,Session Started,0.047,0
CLI_040625,0.0,10.0,1687.2,0.0,0.0,1.0,Session Started,0.0,0
CLI_027155,4.0,8.0,4101.43,0.0,0.0,1.0,Session Started,0.093,0
CLI_027155,0.0,9.0,4101.43,0.0,0.0,1.0,Session Started,0.0,0
CLI_027155,2.0,9.0,4101.43,0.0,0.0,1.0,Session Started,0.047,0
CLI_027155,3.0,9.0,4101.43,0.0,0.0,1.0,Session Started,0.07,1
CLI_040572,0.0,9.0,200.0,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_040572,4.0,10.0,200.0,0.0,0.0,1.0,Session Started,0.093,0
CLI_040572,0.0,11.0,200.0,0.0,0.0,1.0,Session Started,0.0,0
CLI_040572,1.0,10.0,200.0,0.0,0.0,1.0,Session Started,0.023,0
CLI_079448,0.0,6.0,1442.93,0.0,0.0,1.0,Session Started,0.0,0
CLI_079448,3.0,7.0,1442.93,0.0,0.0,1.0,Session Started,0.07,0
CLI_095012,19.0,3.0,1386.3,0.0,0.0,1.0,Session Started,0.563,1
CLI_095012,20.0,4.0,1386.3,0.0,0.0,1.0,Session Started,0.527,1
CLI_098033,0.0,2.0,3124.9,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_098033,0.0,3.0,3124.9,0.0,0.0,1.0,Session Started,0.12,0
CLI_117972,0.0,7.0,1321.36,0.0,0.0,1.0,Session Started,0.0,0
CLI_035219,10.0,5.0,3053.61,0.0,0.0,1.0,Session Started,0.233,0
CLI_035219,12.0,4.0,3053.61,0.0,0.0,1.0,Session Started,0.34,1
CLI_112544,3.0,9.0,29289.42,0.0,0.0,1.0,Session Started,0.07,0
CLI_112544,4.0,9.0,29289.42,0.0,0.0,1.0,Session Started,0.093,0
CLI_112544,6.0,12.0,29289.42,0.0,0.0,1.0,Session Started,0.14,0
CLI_112544,3.0,12.0,29289.42,0.0,0.0,1.0,Session Started,0.07,0
CLI_112544,2.0,11.0,29289.42,0.0,0.0,1.0,Session Started,0.047,0
CLI_094542,0.0,8.0,1091.44,0.0,0.0,1.0,Session Started,0.0,0
CLI_094542,0.0,6.0,1091.44,0.0,0.0,1.0,Session Started,0.0,0
CLI_076039,3.0,10.0,4744.71,0.0,0.0,1.0,Session Started,0.07,0
CLI_076039,1.0,6.0,4744.71,0.0,0.0,1.0,Session Started,0.023,0
CLI_076039,2.0,9.0,4744.71,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_019957,13.0,8.0,3674.91,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_019957,16.0,8.0,3674.91,1.0,0.0,0.0,Cancellation Page Viewed,0.9,0
CLI_019957,17.0,8.0,3674.91,0.0,0.0,1.0,Session Started,0.397,1
CLI_019957,16.0,8.0,3674.91,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_019957,18.0,8.0,3674.91,0.0,0.0,1.0,Session Started,0.42,0
CLI_109765,4.0,11.0,3164.08,0.0,0.0,1.0,Session Started,0.093,0
CLI_109765,0.0,9.0,3164.08,0.0,0.0,1.0,Session Started,0.0,0
CLI_018382,2.0,7.0,1390.89,0.0,0.0,1.0,Session Started,0.047,0
CLI_018382,0.0,7.0,1390.89,0.0,0.0,1.0,Session Started,0.0,0
CLI_018382,2.0,5.0,1390.89,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_092749,2.0,9.0,5971.8,0.0,0.0,1.0,Session Started,0.047,0
CLI_092749,0.0,11.0,5971.8,0.0,0.0,1.0,Session Started,0.0,1
CLI_077684,2.0,9.0,633.15,0.0,0.0,1.0,Session Started,0.047,0
CLI_090109,19.0,7.0,2302.58,0.0,0.0,1.0,Session Started,0.443,1
CLI_090109,16.0,8.0,2302.58,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_090109,19.0,7.0,2302.58,0.0,0.0,1.0,Session Started,0.443,0
CLI_003985,7.0,9.0,884.21,0.0,0.0,1.0,Session Started,0.163,0
CLI_003985,11.0,9.0,884.21,0.0,0.0,1.0,Session Started,0.257,0
CLI_082416,2.0,7.0,1620.02,0.0,0.0,1.0,Session Started,0.047,0
CLI_082416,1.0,10.0,1620.02,0.0,0.0,1.0,Session Started,0.023,0
CLI_082416,1.0,9.0,1620.02,0.0,0.0,1.0,Session Started,0.023,0
CLI_082416,1.0,9.0,1620.02,0.0,0.0,1.0,Session Started,0.023,0
CLI_092910,0.0,10.0,2288.3,0.0,0.0,1.0,Session Started,0.0,0
CLI_092910,2.0,9.0,2288.3,0.0,0.0,1.0,Session Started,0.047,1
CLI_008807,3.0,3.0,1335.57,0.0,0.0,1.0,Session Started,0.19,0
CLI_008807,8.0,4.0,1335.57,0.0,0.0,1.0,Session Started,0.247,0
CLI_065419,3.0,12.0,1217.72,0.0,0.0,1.0,Session Started,0.07,0
CLI_065419,3.0,10.0,1217.72,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_065419,4.0,9.0,1217.72,0.0,0.0,1.0,Session Started,0.093,0
CLI_065419,0.0,10.0,1217.72,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_065419,0.0,8.0,1217.72,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_065419,5.0,10.0,1217.72,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_075026,0.0,10.0,1758.63,0.0,0.0,1.0,Session Started,0.0,0
CLI_075026,2.0,10.0,1758.63,0.0,0.0,1.0,Session Started,0.047,0
CLI_056543,8.0,8.0,517.45,1.0,0.0,0.0,Cancellation Page Viewed,0.9,0
CLI_056543,5.0,8.0,517.45,0.0,0.0,1.0,Session Started,0.117,1
CLI_020770,1.0,4.0,657.06,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_020770,1.0,1.0,657.06,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_020770,6.0,3.0,657.06,0.0,0.0,1.0,Session Started,0.26,1
CLI_020770,1.0,4.0,657.06,0.0,0.0,1.0,Session Started,0.083,0
CLI_020770,6.0,0.0,657.06,0.0,0.0,1.0,Session Started,0.44,0
CLI_088420,3.0,8.0,3023.12,0.0,0.0,1.0,Session Started,0.07,0
CLI_088420,3.0,10.0,3023.12,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_088420,0.0,9.0,3023.12,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_088420,0.0,9.0,3023.12,0.0,0.0,1.0,Session Started,0.0,0
CLI_082062,13.0,8.0,745.97,0.0,0.0,1.0,Session Started,0.303,0
CLI_082062,10.0,5.0,745.97,0.0,0.0,1.0,Session Started,0.233,0
CLI_056643,0.0,11.0,3765.58,0.0,0.0,1.0,Session Started,0.0,0
CLI_056643,1.0,10.0,3765.58,0.0,0.0,1.0,Session Started,0.023,0
CLI_056643,2.0,10.0,3765.58,0.0,0.0,1.0,Session Started,0.047,0
CLI_089948,2.0,7.0,9794.08,0.0,0.0,1.0,Session Started,0.047,0
CLI_089948,1.0,9.0,9794.08,0.0,0.0,1.0,Session Started,0.023,0
CLI_089948,3.0,8.0,9794.08,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_117998,0.0,7.0,233.4,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_117998,5.0,8.0,233.4,0.0,0.0,1.0,Session Started,0.117,0
CLI_117998,1.0,7.0,233.4,0.0,0.0,1.0,Session Started,0.023,0
CLI_117998,4.0,7.0,233.4,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_007802,0.0,10.0,1528.37,0.0,0.0,1.0,Session Started,0.0,0
CLI_007802,4.0,10.0,1528.37,0.0,0.0,1.0,Session Started,0.093,0
CLI_007802,0.0,7.0,1528.37,0.0,0.0,1.0,Session Started,0.0,0
CLI_007802,0.0,9.0,1528.37,0.0,0.0,1.0,Session Started,0.0,1
CLI_057750,10.0,10.0,8332.67,0.0,0.0,1.0,Session Started,0.233,1
CLI_071237,2.0,6.0,292.16,0.0,0.0,1.0,Session Started,0.047,1
CLI_071237,0.0,7.0,292.16,0.0,0.0,1.0,Session Started,0.0,0
CLI_071237,5.0,7.0,292.16,0.0,0.0,1.0,Session Started,0.117,1
CLI_071237,5.0,9.0,292.16,0.0,0.0,1.0,Session Started,0.117,0
CLI_071237,5.0,8.0,292.16,0.0,0.0,1.0,Session Started,0.117,0
CLI_025541,0.0,11.0,1061.61,0.0,0.0,1.0,Session Started,0.0,0
CLI_025541,1.0,11.0,1061.61,0.0,0.0,1.0,Session Started,0.023,0
CLI_025541,0.0,11.0,1061.61,0.0,0.0,1.0,Session Started,0.0,0
CLI_105407,5.0,11.0,3743.18,0.0,0.0,1.0,Session Started,0.117,0
CLI_105407,6.0,9.0,3743.18,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_105407,6.0,10.0,3743.18,0.0,0.0,1.0,Session Started,0.14,0
CLI_105407,5.0,11.0,3743.18,0.0,0.0,1.0,Session Started,0.117,1
CLI_112922,3.0,8.0,590.5,0.0,0.0,1.0,Session Started,0.07,0
CLI_112922,0.0,6.0,590.5,0.0,0.0,1.0,Session Started,0.0,0
CLI_112922,2.0,6.0,590.5,0.0,0.0,1.0,Session Started,0.047,0
CLI_039612,2.0,10.0,33795.76,0.0,0.0,1.0,Session Started,0.047,0
CLI_039612,0.0,10.0,33795.76,0.0,0.0,1.0,Session Started,0.0,0
CLI_039612,4.0,12.0,33795.76,0.0,0.0,1.0,Session Started,0.093,0
CLI_019506,7.0,10.0,738.32,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_019506,3.0,10.0,738.32,0.0,0.0,1.0,Session Started,0.07,0
CLI_069364,3.0,5.0,1675.16,0.0,0.0,1.0,Session Started,0.07,0
CLI_069364,8.0,6.0,1675.16,0.0,0.0,1.0,Session Started,0.187,0
CLI_069364,8.0,8.0,1675.16,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_074300,11.0,9.0,3732.53,0.0,0.0,1.0,Session Started,0.257,1
CLI_074300,13.0,10.0,3732.53,0.0,0.0,1.0,Session Started,0.303,0
CLI_074300,14.0,10.0,3732.53,0.0,0.0,1.0,Session Started,0.327,0
CLI_074300,12.0,8.0,3732.53,0.0,0.0,1.0,Session Started,0.28,1
CLI_052714,0.0,6.0,2250.72,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_052714,2.0,5.0,2250.72,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_052714,0.0,7.0,2250.72,0.0,0.0,1.0,Session Started,0.0,0
CLI_115247,0.0,9.0,465.43,0.0,0.0,1.0,Session Started,0.0,0
CLI_115247,0.0,7.0,465.43,0.0,0.0,1.0,Session Started,0.0,0
CLI_115247,0.0,8.0,465.43,0.0,0.0,1.0,Session Started,0.0,0
CLI_115247,0.0,10.0,465.43,0.0,0.0,1.0,Session Started,0.0,0
CLI_026459,2.0,9.0,898.59,0.0,0.0,1.0,Session Started,0.047,0
CLI_026459,5.0,10.0,898.59,0.0,0.0,1.0,Session Started,0.117,0
CLI_026459,4.0,8.0,898.59,0.0,0.0,1.0,Session Started,0.093,0
CLI_026459,5.0,9.0,898.59,0.0,0.0,1.0,Session Started,0.117,1
CLI_099982,1.0,6.0,2210.3,0.0,0.0,1.0,Session Started,0.023,0
CLI_099982,1.0,4.0,2210.3,0.0,0.0,1.0,Session Started,0.083,1
CLI_099982,1.0,2.0,2210.3,0.0,0.0,1.0,Session Started,0.203,0
CLI_099982,2.0,4.0,2210.3,0.0,0.0,1.0,Session Started,0.107,0
CLI_099982,2.0,4.0,2210.3,0.0,0.0,1.0,Session Started,0.107,0
CLI_025517,14.0,5.0,1508.44,0.0,0.0,1.0,Session Started,0.327,0
CLI_025517,11.0,6.0,1508.44,0.0,0.0,1.0,Session Started,0.257,0
CLI_025517,14.0,7.0,1508.44,0.0,0.0,1.0,Session Started,0.327,1
CLI_025517,10.0,6.0,1508.44,0.0,0.0,1.0,Session Started,0.233,0
CLI_010121,2.0,11.0,1185.94,0.0,0.0,1.0,Session Started,0.047,0
CLI_010121,1.0,9.0,1185.94,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_010121,5.0,9.0,1185.94,0.0,0.0,1.0,Session Started,0.117,0
CLI_010121,6.0,9.0,1185.94,0.0,0.0,1.0,Session Started,0.14,1
CLI_092194,0.0,9.0,15426.43,0.0,0.0,1.0,Session Started,0.0,0
CLI_092194,1.0,9.0,15426.43,0.0,0.0,1.0,Session Started,0.023,0
CLI_092194,1.0,9.0,15426.43,0.0,0.0,1.0,Session Started,0.023,0
CLI_041195,3.0,9.0,748.99,0.0,0.0,1.0,Session Started,0.07,0
CLI_041195,5.0,9.0,748.99,0.0,0.0,1.0,Session Started,0.117,0
CLI_079005,0.0,8.0,598.74,0.0,0.0,1.0,Session Started,0.0,0
CLI_079005,1.0,10.0,598.74,0.0,0.0,1.0,Session Started,0.023,0
CLI_079005,1.0,12.0,598.74,0.0,0.0,1.0,Session Started,0.023,0
CLI_096217,0.0,5.0,1048.8,0.0,0.0,1.0,Session Started,0.0,0
CLI_008879,5.0,4.0,721.81,0.0,0.0,1.0,Session Started,0.177,0
CLI_008879,1.0,4.0,721.81,0.0,0.0,1.0,Session Started,0.083,0
CLI_008879,4.0,4.0,721.81,0.0,0.0,1.0,Session Started,0.153,0
CLI_013886,0.0,12.0,2717.48,0.0,0.0,1.0,Session Started,0.0,0
CLI_052152,1.0,6.0,304.61,0.0,0.0,1.0,Session Started,0.023,0
CLI_033341,5.0,3.0,11256.29,0.0,0.0,1.0,Session Started,0.237,0
CLI_033341,4.0,3.0,11256.29,0.0,0.0,1.0,Session Started,0.213,1
CLI_033341,7.0,2.0,11256.29,0.0,0.0,1.0,Session Started,0.343,0
CLI_033341,6.0,2.0,11256.29,0.0,0.0,1.0,Session Started,0.32,0
CLI_033341,6.0,2.0,11256.29,1.0,0.0,0.0,Cancellation Page Viewed,0.9,1
CLI_054701,3.0,12.0,6539.64,0.0,0.0,1.0,Session Started,0.07,0
CLI_041106,2.0,9.0,9034.4,0.0,0.0,1.0,Session Started,0.047,0
CLI_041106,3.0,10.0,9034.4,0.0,0.0,1.0,Session Started,0.07,0
CLI_041106,5.0,10.0,9034.4,0.0,0.0,1.0,Session Started,0.117,0
CLI_018474,9.0,7.0,1714.93,0.0,0.0,1.0,Session Started,0.21,0
CLI_018474,9.0,8.0,1714.93,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_064889,8.0,2.0,447.33,0.0,0.0,1.0,Session Started,0.367,1
CLI_064889,10.0,1.0,447.33,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_064889,12.0,2.0,447.33,0.0,0.0,1.0,Session Started,0.46,0
CLI_008202,16.0,7.0,3203.12,0.0,1.0,0.0,Downgrade Clicked,0.75,1
CLI_105815,3.0,10.0,885.37,0.0,0.0,1.0,Session Started,0.07,0
CLI_105815,3.0,12.0,885.37,0.0,0.0,1.0,Session Started,0.07,1
CLI_072627,1.0,12.0,12007.18,0.0,0.0,1.0,Session Started,0.023,0
CLI_072627,2.0,10.0,12007.18,0.0,0.0,1.0,Session Started,0.047,0
CLI_072627,2.0,10.0,12007.18,0.0,0.0,1.0,Session Started,0.047,0
CLI_072627,1.0,10.0,12007.18,0.0,0.0,1.0,Session Started,0.023,0
CLI_039030,2.0,11.0,1124.84,0.0,0.0,1.0,Session Started,0.047,0
CLI_034085,0.0,5.0,200.0,0.0,0.0,1.0,Session Started,0.0,0
CLI_034085,0.0,7.0,200.0,0.0,0.0,1.0,Session Started,0.0,0
CLI_118628,0.0,5.0,652.97,0.0,0.0,1.0,Session Started,0.0,0
CLI_118628,2.0,4.0,652.97,0.0,0.0,1.0,Session Started,0.107,0
CLI_107859,2.0,10.0,1234.98,0.0,0.0,1.0,Session Started,0.047,0
CLI_107859,1.0,12.0,1234.98,0.0,0.0,1.0,Session Started,0.023,0
CLI_107859,3.0,10.0,1234.98,0.0,0.0,1.0,Session Started,0.07,0
CLI_107859,2.0,11.0,1234.98,0.0,0.0,1.0,Session Started,0.047,0
CLI_073833,3.0,11.0,719.82,0.0,0.0,1.0,Session Started,0.07,0
CLI_073833,4.0,11.0,719.82,0.0,0.0,1.0,Session Started,0.093,0
CLI_073833,1.0,12.0,719.82,0.0,0.0,1.0,Session Started,0.023,0
CLI_073833,0.0,10.0,719.82,0.0,0.0,1.0,Session Started,0.0,0
CLI_073833,0.0,11.0,719.82,0.0,1.0,0.0,Downgrade Clicked,0.75,0
CLI_114900,2.0,9.0,414.06,0.0,0.0,1.0,Session Started,0.047,0
CLI_114900,4.0,9.0,414.06,0.0,0.0,1.0,Session Started,0.093,0
CLI_114900,2.0,12.0,414.06,0.0,0.0,1.0,Session Started,0.047,0
